CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	JABKKG010000006	HPS57_09940	2248	4482	+	 GH36|GH36
CGC1	null	JABKKG010000006	HPS57_09945	4599	6431	-	null
CGC1	TC	JABKKG010000006	HPS57_09950	6444	9527	-	1.B.14.6.1
CGC1	null	JABKKG010000006	HPS57_09955	10553	12919	+	null
CGC1	CAZyme	JABKKG010000006	HPS57_09960	13033	15363	-	CBM77|PL1| PL1
CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Direction	Protein Family
CGC1	CAZyme	JABKKG010000006	HPS57_09940	2248	4482	+	GH36
CGC1	null	JABKKG010000006	HPS57_09945;Parent	4599	6431	-	null
CGC1	TC	JABKKG010000006	HPS57_09950	6444	9527	-	1.B.14.6.1
CGC1	null	JABKKG010000006	HPS57_09955;Parent	10553	12919	+	null
CGC1	CAZyme	JABKKG010000006	HPS57_09960	13033	15363	-	PL1
