genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
JPDI01000001	PUL1	JPDI01000001.1_698	JPDI01000001.1	770302	771783	-	0	JPDI01000001.1_698		GH30_1	
JPDI01000001	PUL1	JPDI01000001.1_699	JPDI01000001.1	771836	772711	-	53	JPDI01000001.1_699		GH16	
JPDI01000001	PUL1	JPDI01000001.1_700	JPDI01000001.1	772879	775578	-	168	JPDI01000001.1_700		GH5_46;CBM6	
JPDI01000001	PUL1	JPDI01000001.1_701	JPDI01000001.1	775591	776790	-	13	JPDI01000001.1_701			
JPDI01000001	PUL1	JPDI01000001.1_702	JPDI01000001.1	776805	778724	-	15	JPDI01000001.1_702	susD		
JPDI01000001	PUL1	JPDI01000001.1_703	JPDI01000001.1	778735	781851	-	11	JPDI01000001.1_703	susC		
JPDI01000001	PUL1	JPDI01000001.1_704	JPDI01000001.1	781911	784340	-	60	JPDI01000001.1_704		CBM102	
JPDI01000001	PUL2	JPDI01000001.1_1289	JPDI01000001.1	1443597	1444763	+	659257	JPDI01000001.1_1289	susC		
JPDI01000001	PUL2	JPDI01000001.1_1290	JPDI01000001.1	1444943	1448176	+	180	JPDI01000001.1_1290	susC		
JPDI01000001	PUL2	JPDI01000001.1_1291	JPDI01000001.1	1448194	1449921	+	18	JPDI01000001.1_1291	susD		
JPDI01000001	PUL2	JPDI01000001.1_1292	JPDI01000001.1	1449929	1451002	+	8	JPDI01000001.1_1292		GH99	
JPDI01000001	PUL2	JPDI01000001.1_1293	JPDI01000001.1	1451044	1452312	+	42	JPDI01000001.1_1293			
JPDI01000001	PUL2	JPDI01000001.1_1294	JPDI01000001.1	1452327	1454579	+	15	JPDI01000001.1_1294		GH92	
JPDI01000001	PUL2	JPDI01000001.1_1295	JPDI01000001.1	1454593	1456875	+	14	JPDI01000001.1_1295		GH92	
JPDI01000001	PUL3	JPDI01000001.1_2022	JPDI01000001.1	2290691	2291623	-	833816	JPDI01000001.1_2022		GH17	
JPDI01000001	PUL3	JPDI01000001.1_2023	JPDI01000001.1	2291648	2293159	-	25	JPDI01000001.1_2023			
JPDI01000001	PUL3	JPDI01000001.1_2024	JPDI01000001.1	2293190	2294644	-	31	JPDI01000001.1_2024		GH30_1	
JPDI01000001	PUL3	JPDI01000001.1_2025	JPDI01000001.1	2294697	2295980	-	53	JPDI01000001.1_2025		GH17	
JPDI01000001	PUL3	JPDI01000001.1_2026	JPDI01000001.1	2296027	2297760	-	47	JPDI01000001.1_2026		GH3	
JPDI01000001	PUL3	JPDI01000001.1_2027	JPDI01000001.1	2297835	2301290	-	75	JPDI01000001.1_2027		GH149	
JPDI01000001	PUL3	JPDI01000001.1_2028	JPDI01000001.1	2301551	2302387	-	261	JPDI01000001.1_2028		GH16_3	
JPDI01000001	PUL3	JPDI01000001.1_2029	JPDI01000001.1	2302411	2303832	-	24	JPDI01000001.1_2029			
JPDI01000001	PUL3	JPDI01000001.1_2030	JPDI01000001.1	2303840	2306986	-	8	JPDI01000001.1_2030			
JPDI01000001	PUL3	JPDI01000001.1_2031	JPDI01000001.1	2307379	2308746	-	393	JPDI01000001.1_2031			
JPDI01000001	PUL3	JPDI01000001.1_2032	JPDI01000001.1	2308780	2310336	-	34	JPDI01000001.1_2032	susD		
JPDI01000001	PUL3	JPDI01000001.1_2033	JPDI01000001.1	2310343	2313366	-	7	JPDI01000001.1_2033	susC		
