sequence_id	cluster_id	start	end	average_p	max_p	proteins	domains	type
DQ868502	DQ868502.2_cluster_1	18792	34035	0.8703807581879273	0.915062171918357	DQ868502.2_16;DQ868502.2_17;DQ868502.2_18;DQ868502.2_19;DQ868502.2_20;DQ868502.2_21;DQ868502.2_22;DQ868502.2_23;DQ868502.2_24;DQ868502.2_25;DQ868502.2_26	PF00528;PF00528;PF01263;PF01408;PF01547;PF01609;PF02894;PF04616;PF04616;PF04616;PF06964;PF06964;PF13385;PF13416;PF16369;PF16499;PF17801;PF20578;PF22725	Unknown
DQ868502	DQ868502.2_cluster_2	43428	61054	0.9154948751368268	0.9938538134107415	DQ868502.2_34;DQ868502.2_35;DQ868502.2_36;DQ868502.2_37;DQ868502.2_38;DQ868502.2_39;DQ868502.2_40;DQ868502.2_41;DQ868502.2_42;DQ868502.2_43;DQ868502.2_44;DQ868502.2_45;DQ868502.2_46;DQ868502.2_47;DQ868502.2_48	PF00294;PF00331;PF00392;PF00528;PF00528;PF00528;PF01081;PF01229;PF01263;PF01522;PF01547;PF03050;PF03512;PF03648;PF07477;PF07488;PF07729;PF13005;PF13416;PF20042	Unknown
NZ_PXJC01000002	NZ_PXJC01000002.1_cluster_1	247984	256146	0.9625351984483455	0.9823868560609581	NZ_PXJC01000002.1_236;NZ_PXJC01000002.1_237;NZ_PXJC01000002.1_238;NZ_PXJC01000002.1_239;NZ_PXJC01000002.1_240;NZ_PXJC01000002.1_241	PF00356;PF00532;PF00704;PF00722;PF00933;PF01061;PF01915;PF13377;PF13407;PF14310	Unknown
LT796702	LT796702.1_cluster_1	7773	18616	0.8997032889529971	0.9530903807143134	LT796702.1_12;LT796702.1_13;LT796702.1_14;LT796702.1_15;LT796702.1_16;LT796702.1_17;LT796702.1_18;LT796702.1_19	PF00120;PF00150;PF00722;PF00795;PF02156;PF02540;PF03629;PF12437	Unknown
NZ_PJAI02000001	NZ_PJAI02000001.1_cluster_1	1897	7236	0.8590429448394606	0.8996834902280336	NZ_PJAI02000001.1_2;NZ_PJAI02000001.1_3;NZ_PJAI02000001.1_4;NZ_PJAI02000001.1_5	PF00356;PF00474;PF00532;PF01408;PF02746;PF02894;PF13377;PF13378;PF13407;PF22725	Unknown
NZ_PJAI02000001	NZ_PJAI02000001.1_cluster_2	334001	352658	0.9724655893642902	0.997048238575729	NZ_PJAI02000001.1_267;NZ_PJAI02000001.1_268;NZ_PJAI02000001.1_269;NZ_PJAI02000001.1_270;NZ_PJAI02000001.1_271;NZ_PJAI02000001.1_272;NZ_PJAI02000001.1_273;NZ_PJAI02000001.1_274;NZ_PJAI02000001.1_275;NZ_PJAI02000001.1_276	PF00083;PF00083;PF00884;PF01120;PF01547;PF01614;PF01663;PF02746;PF05721;PF07690;PF09339;PF13378;PF13416;PF16347;PF16757;PF17992;PF17992;PF17992	Unknown
NZ_PJAI02000001	NZ_PJAI02000001.1_cluster_3	353733	366773	0.9119468966948994	0.9345035612751106	NZ_PJAI02000001.1_278;NZ_PJAI02000001.1_279;NZ_PJAI02000001.1_280;NZ_PJAI02000001.1_281;NZ_PJAI02000001.1_282;NZ_PJAI02000001.1_283;NZ_PJAI02000001.1_284	PF00106;PF00106;PF00171;PF00884;PF00884;PF00884;PF02368;PF02368;PF07593;PF08659;PF13517;PF13517;PF13561;PF13561;PF16347;PF16347	Unknown
NZ_PJAI02000001	NZ_PJAI02000001.1_cluster_4	367769	381903	0.9501556088138647	0.9810753700524469	NZ_PJAI02000001.1_286;NZ_PJAI02000001.1_287;NZ_PJAI02000001.1_288;NZ_PJAI02000001.1_289;NZ_PJAI02000001.1_290;NZ_PJAI02000001.1_291	PF00392;PF00593;PF00593;PF02449;PF04820;PF07715;PF07715;PF07729;PF08450;PF17992	Unknown
NZ_PJAI02000001	NZ_PJAI02000001.1_cluster_5	392261	403033	0.9654879891132168	0.9940935049508649	NZ_PJAI02000001.1_299;NZ_PJAI02000001.1_300;NZ_PJAI02000001.1_301;NZ_PJAI02000001.1_302;NZ_PJAI02000001.1_303;NZ_PJAI02000001.1_304;NZ_PJAI02000001.1_305	PF00005;PF00005;PF00251;PF00288;PF00294;PF00532;PF01087;PF02368;PF02368;PF02744;PF04616;PF07593;PF08544;PF10509;PF13407;PF13517;PF13517;PF13517;PF13517	Unknown
ADOP01000016	ADOP01000016.2_cluster_1	49471	65997	0.965211965695213	0.995493587736533	ADOP01000016.2_45;ADOP01000016.2_46;ADOP01000016.2_47;ADOP01000016.2_48;ADOP01000016.2_49;ADOP01000016.2_50;ADOP01000016.2_51;ADOP01000016.2_52	PF00135;PF00356;PF00532;PF00544;PF00593;PF01095;PF03480;PF04290;PF06439;PF06808;PF07715;PF07859;PF12740;PF13377;PF13407;PF20434	Unknown
ADOP01000016	ADOP01000016.2_cluster_2	66890	74821	0.9260819703123779	0.9317491688678743	ADOP01000016.2_55;ADOP01000016.2_56;ADOP01000016.2_57;ADOP01000016.2_58;ADOP01000016.2_59;ADOP01000016.2_60	PF00295;PF01081;PF02614;PF04616;PF07470;PF07470;PF12708;PF16153	Unknown
CP003873	CP003873.1_cluster_1	202867	209496	0.9091750393942072	0.9354403645069896	CP003873.1_182;CP003873.1_183;CP003873.1_184;CP003873.1_185;CP003873.1_186	PF00288;PF00356;PF00474;PF00532;PF01087;PF01263;PF02744;PF08544;PF10509;PF13377;PF13407	Unknown
CP003873	CP003873.1_cluster_2	353707	360505	0.9724552837151749	0.9778995522336449	CP003873.1_308;CP003873.1_309;CP003873.1_310;CP003873.1_311;CP003873.1_312;CP003873.1_313	PF00356;PF00532;PF01261;PF01261;PF01261;PF01306;PF01408;PF02894;PF03825;PF07690;PF07690;PF12832;PF13377;PF13407;PF22725	Unknown
CP003873	CP003873.1_cluster_3	883754	896934	0.9491852332310661	0.9769113460267828	CP003873.1_765;CP003873.1_766;CP003873.1_767;CP003873.1_768;CP003873.1_769;CP003873.1_770;CP003873.1_771	PF00356;PF00532;PF00593;PF00754;PF00754;PF00754;PF00754;PF01869;PF07221;PF07690;PF07715;PF07971;PF13377;PF13407;PF17678;PF22633;PF22633;PF22633;PF22633	Unknown
CP003873	CP003873.1_cluster_4	1020434	1042766	0.9529917273729048	0.996642052847855	CP003873.1_872;CP003873.1_873;CP003873.1_874;CP003873.1_875;CP003873.1_876;CP003873.1_877;CP003873.1_878;CP003873.1_879;CP003873.1_880;CP003873.1_881;CP003873.1_882;CP003873.1_883;CP003873.1_884;CP003873.1_885	PF00294;PF00392;PF00593;PF00593;PF00754;PF01081;PF02311;PF02737;PF02826;PF03446;PF03807;PF05426;PF07690;PF07690;PF07715;PF07715;PF07729;PF07883;PF07940;PF08787;PF08787;PF14592;PF14833;PF14905;PF22633	Unknown
CP003873	CP003873.1_cluster_5	2774804	2783056	0.9027856505982026	0.9525921968993553	CP003873.1_2354;CP003873.1_2355;CP003873.1_2356;CP003873.1_2357;CP003873.1_2358;CP003873.1_2359;CP003873.1_2360	PF00356;PF00532;PF01081;PF01232;PF02614;PF04290;PF04295;PF06808;PF08125;PF08666;PF13377;PF13407;PF20629	Unknown
CP003873	CP003873.1_cluster_6	4347458	4358767	0.9577854540364805	0.9895478477001096	CP003873.1_3661;CP003873.1_3662;CP003873.1_3663;CP003873.1_3664;CP003873.1_3665;CP003873.1_3666;CP003873.1_3667	PF00005;PF00083;PF00083;PF00150;PF00232;PF00356;PF00532;PF00933;PF01915;PF03553;PF07690;PF07690;PF07690;PF13377;PF13407;PF18559	Unknown
CP002113	CP002113.1_cluster_2	698274	703747	0.9628954918954654	0.9912884420671323	CP002113.1_619;CP002113.1_620;CP002113.1_621;CP002113.1_622;CP002113.1_623	PF02569;PF04542;PF08281;PF08323;PF12667;PF17415	Unknown
CP002113	CP002113.1_cluster_3	2395347	2401214	0.873455032211995	0.891518224802402	CP002113.1_2097;CP002113.1_2098;CP002113.1_2099	PF00356;PF00532;PF00593;PF07715;PF07980;PF13377;PF13407;PF13620;PF13715;PF14322	Unknown
LT629745	LT629745.1_cluster_1	111237	119595	0.8812899046573447	0.9248492148738597	LT629745.1_117;LT629745.1_118;LT629745.1_119	PF07593;PF07593;PF07980;PF13517;PF13517;PF13517;PF13517;PF13517;PF13517;PF13517;PF13517;PF13517;PF13517;PF13517;PF13517;PF13517;PF14322	Unknown
LT629745	LT629745.1_cluster_2	1562473	1571607	0.9561245244460665	0.9657501396887349	LT629745.1_1467;LT629745.1_1468;LT629745.1_1469;LT629745.1_1470;LT629745.1_1471	PF00474;PF00593;PF02638;PF02746;PF07715;PF07980;PF13378;PF13620;PF13715;PF14322	Unknown
LT629745	LT629745.1_cluster_3	2109348	2116453	0.9607645099796613	0.9789433087517485	LT629745.1_1923;LT629745.1_1924;LT629745.1_1925;LT629745.1_1926	PF07715;PF12741;PF12741;PF12741;PF12741;PF12771;PF12771;PF13620;PF13715	Unknown
LT629745	LT629745.1_cluster_4	2632677	2645286	0.9516346150056837	0.9803968057386134	LT629745.1_2410;LT629745.1_2411;LT629745.1_2412;LT629745.1_2413;LT629745.1_2414;LT629745.1_2415;LT629745.1_2416	PF00128;PF00356;PF00532;PF00593;PF00702;PF07690;PF07690;PF07715;PF07980;PF13347;PF13377;PF13407;PF13419;PF13620;PF13715;PF14322	Unknown
NZ_CP084061	NZ_CP084061.1_cluster_1	362233	368970	0.883494167271467	0.9335977639948233	NZ_CP084061.1_365;NZ_CP084061.1_366;NZ_CP084061.1_367;NZ_CP084061.1_368;NZ_CP084061.1_369	PF00356;PF00528;PF00528;PF00532;PF01547;PF03632;PF03633;PF03636;PF13377;PF13407;PF13416	Unknown
NZ_CP084061	NZ_CP084061.1_cluster_4	2010465	2018737	0.8650056287061797	0.8762473649721553	NZ_CP084061.1_1917;NZ_CP084061.1_1918;NZ_CP084061.1_1919;NZ_CP084061.1_1920;NZ_CP084061.1_1921	PF00408;PF00528;PF00672;PF02878;PF02879;PF02880;PF04685;PF06165;PF06580;PF13416;PF17167	Unknown
NZ_CP084061	NZ_CP084061.1_cluster_5	2047484	2054127	0.828481515509702	0.8354799036177586	NZ_CP084061.1_1945;NZ_CP084061.1_1946;NZ_CP084061.1_1947;NZ_CP084061.1_1948;NZ_CP084061.1_1949	PF00528;PF00528;PF01547;PF07690;PF07944;PF13347;PF13416;PF20736;PF20737	Unknown
NZ_CP084061	NZ_CP084061.1_cluster_6	2078854	2084581	0.8544272169746103	0.8693729923307371	NZ_CP084061.1_1964;NZ_CP084061.1_1965;NZ_CP084061.1_1966;NZ_CP084061.1_1967;NZ_CP084061.1_1968	PF00356;PF00532;PF01261;PF01261;PF01408;PF02894;PF07690;PF13347;PF13407;PF13560;PF22725	Unknown
NZ_CP084061	NZ_CP084061.1_cluster_7	2184450	2193054	0.9252257858101982	0.9497331985839357	NZ_CP084061.1_2064;NZ_CP084061.1_2065;NZ_CP084061.1_2066;NZ_CP084061.1_2067;NZ_CP084061.1_2068;NZ_CP084061.1_2069	PF00370;PF00392;PF00392;PF00703;PF02449;PF02782;PF02837;PF03480;PF07729;PF07729;PF08532;PF22666	Unknown
