Organism,Scaffold,Start,End,Score,AE014295_110,AE014295_111,AE014295_112
AE014295,AE014295.3,126783,130943,5.2654,1,1,1
CP001095,CP001095.1,912482,916783,5.2446,1,1,1
CP006712,CP006712.1,1543883,1548175,5.2433,1,1,1
CP016019,CP016019.1,1606109,1610268,5.2638,1,1,1
CP137763,CP137763.1,1589583,1593742,5.2639,1,1,1
NC_008618,NC_008618.1,1419722,1424203,5.2179,1,1,1
NC_015067,NC_015067.1,1586203,1590362,5.2631,1,1,1
NZ_AP012330,NZ_AP012330.1,1589102,1593462,5.2186,1,1,1
NZ_AP022379,NZ_AP022379.1,1473983,1478142,5.2633,1,1,1
NZ_CP079235,NZ_CP079235.1,1674724,1679083,5.2188,1,1,1
PJEE01000011,PJEE01000011.1,32559,36718,5.2630,1,1,1
