Organism,Scaffold,Start,End,Score,AE006468_1300,AE006468_1301,AE006468_1302,AE006468_1303,AE006468_1304,AE006468_1305,AE006468_1306,AE006468_1307
AE006468,AE006468.2,1390109,1397061,15.4002,1,1,1,1,1,1,1,1
AP031375,AP031375.1,2291124,2298024,15.3622,1,1,1,1,1,1,1,1
CP014225,CP014225.1,12807,19707,15.3622,1,1,1,1,1,1,1,1
CP025268,CP025268.1,1821202,1828101,15.3622,1,1,1,1,1,1,1,1
CP098927,CP098927.1,2655980,2662889,15.3642,1,1,1,1,1,1,1,1
HG738867,HG738867.1,1704914,1711814,15.3622,1,1,1,1,1,1,1,1
NC_007946,NC_007946.1,1849839,1856747,15.3629,1,1,1,1,1,1,1,1
NZ_CP027060,NZ_CP027060.1,4090004,4096904,15.3622,1,1,1,1,1,1,1,1
NZ_JAEFCJ010000001,NZ_JAEFCJ010000001.1,2347169,2354078,15.3640,1,1,1,1,1,1,1,1
U00096,U00096.3,1816385,1823285,15.3622,1,1,1,1,1,1,1,1
