Organism,Scaffold,Start,End,Score,GL882630_5,GL882630_6,GL882630_7,GL882630_8,GL882630_9,GL882630_10,GL882630_11,GL882630_12,GL882630_13,GL882630_14
CP012801,CP012801.1,4360457,4368420,5.4455,0,0,0,0,0,0,1,1,1,0
CP065889,CP065889.1,4317791,4336300,10.8970,0,0,0,1,0,1,1,1,1,1
EQ973490,EQ973490.1,2014426,2022549,5.4460,0,0,0,0,0,0,1,1,1,0
GL882630,GL882630.1,4455,29812,20.6418,1,1,1,1,1,1,1,1,1,1
