Organism,Scaffold,Start,End,Score,AE015928_4604,AE015928_4605,AE015928_4606,AE015928_4607,AE015928_4608
AAXF02000054,AAXF02000054.1,767882,775476,9.4113,1,1,1,1,1
AE015928,AE015928.1,5878344,5885923,9.4781,1,1,1,1,1
AP006841,AP006841.1,4092111,4094848,4.1475,1,0,0,1,1
CR626927,CR626927.1,3996611,3999348,4.1533,1,0,0,1,1
DS264584,DS264584.1,767882,775476,9.4113,1,1,1,1,1
FP929033,FP929033.1,4497151,4505127,6.3749,1,1,1,0,1
FQ312004,FQ312004.1,4034532,4037269,4.1531,1,0,0,1,1
JH724241,JH724241.1,2846261,2853899,9.4186,1,1,1,1,1
LT622246,LT622246.1,3387098,3394693,9.4154,1,1,1,1,1
NC_003228,NC_003228.3,3996611,3999348,4.1533,1,0,0,1,1
NC_004663,NC_004663.1,5878344,5885923,9.4850,1,1,1,1,1
NC_006347,NC_006347.1,4092111,4094848,4.1533,1,0,0,1,1
NC_016776,NC_016776.1,4034532,4037269,4.1531,1,0,0,1,1
NZ_CP012938,NZ_CP012938.1,6092685,6100280,9.4176,1,1,1,1,1
NZ_CP113514,NZ_CP113514.1,1481601,1489240,9.4174,1,1,1,1,1
NZ_DS264584,NZ_DS264584.1,767882,775476,6.2510,1,0,1,1,1
