Organism,Scaffold,Start,End,Score,JPOL01000002_2743,JPOL01000002_2744,JPOL01000002_2745,JPOL01000002_2746,JPOL01000002_2747,JPOL01000002_2748,JPOL01000002_2749,JPOL01000002_2750,JPOL01000002_2751,JPOL01000002_2752,JPOL01000002_2753,JPOL01000002_2754,JPOL01000002_2755,JPOL01000002_2756,JPOL01000002_2757,JPOL01000002_2758,JPOL01000002_2759,JPOL01000002_2760,JPOL01000002_2761,JPOL01000002_2762,JPOL01000002_2763,JPOL01000002_2764,JPOL01000002_2765,JPOL01000002_2766
NZ_JHZY01000004,NZ_JHZY01000004.1,1698875,1717555,12.6880,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
NZ_JPOL01000002,NZ_JPOL01000002.1,3221309,3260094,46.3823,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
NZ_JQNQ01000001,NZ_JQNQ01000001.1,2268117,2273372,4.2057,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
