genome	pulid	contigid	start	end	pattern
FP929033	PUL1	FP929033.1	736268	791386	GH95-GH105-unk-GH140-GH78;CBM67;GH33-unk-unk-CE19-GH28-unk-GH78;CBM67-GH143;GH142-GH43_18-unk-PL1_2-unk-unk-susD-susC-unk-unk-GH92-unk-unk-unk-GH163-unk-unk-susD-susC-susC-unk-susD
FP929033	PUL2	FP929033.1	1054313	1068101	susD-susC-GH20-GH20-GH2_13-CBM93;GH33
FP929033	PUL3	FP929033.1	1082393	1098310	susC-susC-unk-unk-unk-unk-susD-susC
FP929033	PUL4	FP929033.1	1181529	1186469	susD-susC
FP929033	PUL5	FP929033.1	1196472	1213715	susD-susC-unk-susC-susD-unk-unk-unk-unk-PL10_1
FP929033	PUL6	FP929033.1	1226725	1239207	susC-susD-unk-GH2_2;CBM57-GH50-GH50
FP929033	PUL7	FP929033.1	1264087	1269346	susD-susC
FP929033	PUL8	FP929033.1	1366248	1376912	susC-susD-unk-GH76-GH76-GH92
FP929033	PUL9	FP929033.1	1400707	1405715	susC-susD
FP929033	PUL10	FP929033.1	1485517	1490102	susD-susC
FP929033	PUL11	FP929033.1	1524254	1534598	susC-susD-unk-GH20-GH20
FP929033	PUL12	FP929033.1	1555104	1559833	susC-susD
FP929033	PUL13	FP929033.1	1686784	1699949	GH32-GH91-GH91-susD-susC-unk-GH32
FP929033	PUL14	FP929033.1	1854098	1872020	GH43_4-unk-susD-susC-unk-GH43_4-GH51_2-GH43_29
FP929033	PUL15	FP929033.1	2119076	2132723	susC-susD-GH43_18-unk-GH42-GH5_13-GH97
FP929033	PUL16	FP929033.1	2227747	2246149	susD-susC-unk-GH43_26-GH43_34-GH42-GH3-unk-GH78-GH36
FP929033	PUL17	FP929033.1	2291458	2305331	GH89-unk-unk-unk-GH89-unk-susD-susC
FP929033	PUL18	FP929033.1	2308355	2321163	susC-susD-unk-unk-unk-CE1-CE1
FP929033	PUL19	FP929033.1	2335915	2362674	GH97-unk-GH3-GH2_20-unk-GH36-GH2_2-unk-unk-unk-susD-susD-susC-GH29
FP929033	PUL20	FP929033.1	2393671	2417559	GH2_4-CE7-unk-unk-GH105-GH3-unk-GH3-unk-unk-unk-susD-susC
