genome	pulid	contigid	start	end	pattern
NC_013132	PUL1	NC_013132.1	3910	8839	susC-susD
NC_013132	PUL2	NC_013132.1	49354	54053	susD-susC
NC_013132	PUL3	NC_013132.1	67214	77295	susD-susC-unk-unk-unk-GH2_18
NC_013132	PUL4	NC_013132.1	162103	169681	GH2_18-susD-susC
NC_013132	PUL5	NC_013132.1	392229	405235	PL36_2-unk-unk-unk-unk-susD-susC
NC_013132	PUL6	NC_013132.1	419997	427068	GH43_26-unk-susD-susC
NC_013132	PUL7	NC_013132.1	439523	447037	susC-unk-susC-susD
NC_013132	PUL8	NC_013132.1	485451	489891	susC-susD
NC_013132	PUL9	NC_013132.1	538080	542529	susD-susC
NC_013132	PUL10	NC_013132.1	543042	552465	susD-susC-susD-susC
NC_013132	PUL11	NC_013132.1	688888	693408	susD-susC
NC_013132	PUL12	NC_013132.1	768636	777840	susC-susD-unk-unk-susC
NC_013132	PUL13	NC_013132.1	1156827	1173860	GH92-unk-susC-susD-unk-unk-unk-unk-susC-susD
NC_013132	PUL14	NC_013132.1	1315207	1320131	susC-susD
NC_013132	PUL15	NC_013132.1	1615332	1621911	GH177-susD-susC
NC_013132	PUL16	NC_013132.1	1783570	1803454	GH92-unk-unk-susC-susD-unk-unk-unk-GH5_13-unk-unk-susC-AA12
NC_013132	PUL17	NC_013132.1	1835420	1840048	susC-susD
NC_013132	PUL18	NC_013132.1	1893162	1897788	susD-susC
NC_013132	PUL19	NC_013132.1	1932031	1939555	susC-susD-unk-GH76
NC_013132	PUL20	NC_013132.1	2078453	2092792	GH127-GH78;CBM67-unk-unk-unk-unk-susC-susD
NC_013132	PUL21	NC_013132.1	2152270	2164047	susC-susD-CBM6-unk-susC-susD
NC_013132	PUL22	NC_013132.1	2186845	2221803	susC-susD-PL1_2-unk-GH140-GH43_18-GH143-CBM67;GH33;GH78-unk-GH106;GH137-GH2_1-CBM67;GH78-CE8-GH142-unk-unk-GH3
NC_013132	PUL23	NC_013132.1	2289953	2303268	CE1-unk-susD-susC-susD-susC
NC_013132	PUL24	NC_013132.1	2307929	2320516	susC-unk-unk-unk-susC-susD
NC_013132	PUL25	NC_013132.1	2543046	2548054	susC-susD
NC_013132	PUL26	NC_013132.1	2568211	2572934	susC-susD
NC_013132	PUL27	NC_013132.1	2583068	2608106	susC-susD-unk-unk-GH43_10;CBM91-unk-unk-unk-unk-susC-GH171-unk-unk-unk-unk-CBM13;GH5
NC_013132	PUL28	NC_013132.1	2681099	2699496	GH18-unk-GH18;CBM6-CBM6;GH16_3-unk-unk-unk-susC-susD
NC_013132	PUL29	NC_013132.1	2790034	2794932	susC-susD
NC_013132	PUL30	NC_013132.1	2993013	2998306	susD-susC
NC_013132	PUL31	NC_013132.1	3004953	3013605	susC-susD-unk-CBM13
NC_013132	PUL32	NC_013132.1	3262938	3268020	susD-susC
NC_013132	PUL33	NC_013132.1	3320046	3334701	GH2_10-susD-susC-unk-unk-GH76
NC_013132	PUL34	NC_013132.1	3393365	3398107	susC-susD
NC_013132	PUL35	NC_013132.1	3473850	3478943	susC-susD
NC_013132	PUL36	NC_013132.1	3507646	3518808	susC-susD-GH43-unk-unk-unk-GH5_13
NC_013132	PUL37	NC_013132.1	3530641	3547767	susC-susD-unk-unk-CBM32;GH2_17-GH3-unk-unk-unk-CBM13;GH43_34
NC_013132	PUL38	NC_013132.1	3558400	3563372	susD-susC
NC_013132	PUL39	NC_013132.1	3624115	3629112	susD-susC
NC_013132	PUL40	NC_013132.1	3759768	3764869	susC-susD
