Organism,Scaffold,Start,End,Score,L18965_1,L18965_2,L18965_3,L18965_4,L18965_5,L18965_6
CP001393,CP001393.1,698651,701699,5.1326,1,1,1,0,0,0
L18965,L18965.1,0,6760,11.4125,1,1,1,1,1,1
NC_012034,NC_012034.1,698651,701699,5.1326,1,1,1,0,0,0
NZ_LACM01000001,NZ_LACM01000001.1,900530,903583,5.1321,1,1,1,0,0,0
