Organism,Scaffold,Start,End,Score,AE005672_2092,AE005672_2093,AE005672_2094,AE005672_2095,AE005672_2096,AE005672_2097
AAZZ01000003,AAZZ01000003.1,74398,85218,8.5516,1,1,1,1,0,1
AE005672,AE005672.3,2050571,2061389,11.7079,1,1,1,1,1,1
AE007317,AE007317.1,1929899,1940789,11.6968,1,1,1,1,1,1
CP000410,CP000410.2,1937402,1948220,11.6966,1,1,1,1,1,1
NC_003098,NC_003098.1,1929899,1940717,11.6961,1,1,1,1,1,1
