Organism,Scaffold,Start,End,Score,NZ_JHZY01000004_1516,NZ_JHZY01000004_1517,NZ_JHZY01000004_1518,NZ_JHZY01000004_1519,NZ_JHZY01000004_1520,NZ_JHZY01000004_1521,NZ_JHZY01000004_1522,NZ_JHZY01000004_1523,NZ_JHZY01000004_1524,NZ_JHZY01000004_1525,NZ_JHZY01000004_1526,NZ_JHZY01000004_1527,NZ_JHZY01000004_1528,NZ_JHZY01000004_1529,NZ_JHZY01000004_1530,NZ_JHZY01000004_1531,NZ_JHZY01000004_1532,NZ_JHZY01000004_1533,NZ_JHZY01000004_1534
NZ_JHZY01000004,NZ_JHZY01000004.1,1690358,1719497,38.8831,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_JPOL01000002,NZ_JPOL01000002.1,3222508,3232762,7.4500,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
NZ_JQNQ01000001,NZ_JQNQ01000001.1,2268117,2273372,4.2185,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
