genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
NZ_JHZY01000004	PUL1	NZ_JHZY01000004.1_121	NZ_JHZY01000004.1	96081	99362	+	0	NZ_JHZY01000004.1_121	susC		
NZ_JHZY01000004	PUL1	NZ_JHZY01000004.1_122	NZ_JHZY01000004.1	99374	101113	+	12	NZ_JHZY01000004.1_122	susD		
NZ_JHZY01000004	PUL2	NZ_JHZY01000004.1_263	NZ_JHZY01000004.1	260201	261661	-	159088	NZ_JHZY01000004.1_263	susD		
NZ_JHZY01000004	PUL2	NZ_JHZY01000004.1_264	NZ_JHZY01000004.1	261672	265028	-	11	NZ_JHZY01000004.1_264	susC		
NZ_JHZY01000004	PUL3	NZ_JHZY01000004.1_270	NZ_JHZY01000004.1	271519	273156	-	6491	NZ_JHZY01000004.1_270		GH20	
NZ_JHZY01000004	PUL3	NZ_JHZY01000004.1_271	NZ_JHZY01000004.1	273170	274318	-	14	NZ_JHZY01000004.1_271		CE9	
NZ_JHZY01000004	PUL3	NZ_JHZY01000004.1_272	NZ_JHZY01000004.1	274331	275803	-	13	NZ_JHZY01000004.1_272			
NZ_JHZY01000004	PUL3	NZ_JHZY01000004.1_273	NZ_JHZY01000004.1	275832	277382	-	29	NZ_JHZY01000004.1_273		GH20	
NZ_JHZY01000004	PUL3	NZ_JHZY01000004.1_274	NZ_JHZY01000004.1	277396	278172	-	14	NZ_JHZY01000004.1_274			
NZ_JHZY01000004	PUL3	NZ_JHZY01000004.1_275	NZ_JHZY01000004.1	278280	279044	-	108	NZ_JHZY01000004.1_275			
NZ_JHZY01000004	PUL3	NZ_JHZY01000004.1_276	NZ_JHZY01000004.1	279058	280491	-	14	NZ_JHZY01000004.1_276		CBM96	
NZ_JHZY01000004	PUL3	NZ_JHZY01000004.1_277	NZ_JHZY01000004.1	280537	281898	-	46	NZ_JHZY01000004.1_277	susD		
NZ_JHZY01000004	PUL3	NZ_JHZY01000004.1_278	NZ_JHZY01000004.1	281917	285018	-	19	NZ_JHZY01000004.1_278	susC		
NZ_JHZY01000004	PUL3	NZ_JHZY01000004.1_279	NZ_JHZY01000004.1	285269	286297	+	251	NZ_JHZY01000004.1_279			
NZ_JHZY01000004	PUL3	NZ_JHZY01000004.1_280	NZ_JHZY01000004.1	286565	289597	+	268	NZ_JHZY01000004.1_280		GH146	
NZ_JHZY01000004	PUL3	NZ_JHZY01000004.1_281	NZ_JHZY01000004.1	289632	290408	+	35	NZ_JHZY01000004.1_281			
NZ_JHZY01000004	PUL3	NZ_JHZY01000004.1_282	NZ_JHZY01000004.1	290419	290643	-	11	NZ_JHZY01000004.1_282			
NZ_JHZY01000004	PUL3	NZ_JHZY01000004.1_283	NZ_JHZY01000004.1	290806	291591	-	163	NZ_JHZY01000004.1_283			
NZ_JHZY01000004	PUL3	NZ_JHZY01000004.1_284	NZ_JHZY01000004.1	291765	293444	-	174	NZ_JHZY01000004.1_284	susD		
NZ_JHZY01000004	PUL3	NZ_JHZY01000004.1_285	NZ_JHZY01000004.1	293419	296466	-	-25	NZ_JHZY01000004.1_285	susC		
NZ_JHZY01000004	PUL4	NZ_JHZY01000004.1_298	NZ_JHZY01000004.1	310003	310347	-	13537	NZ_JHZY01000004.1_298		AA18	
NZ_JHZY01000004	PUL4	NZ_JHZY01000004.1_299	NZ_JHZY01000004.1	310351	311517	-	4	NZ_JHZY01000004.1_299			
NZ_JHZY01000004	PUL4	NZ_JHZY01000004.1_300	NZ_JHZY01000004.1	311590	312405	-	73	NZ_JHZY01000004.1_300			
NZ_JHZY01000004	PUL4	NZ_JHZY01000004.1_301	NZ_JHZY01000004.1	312429	313211	-	24	NZ_JHZY01000004.1_301		CE12	
NZ_JHZY01000004	PUL4	NZ_JHZY01000004.1_302	NZ_JHZY01000004.1	313215	315107	-	4	NZ_JHZY01000004.1_302		CE8	
NZ_JHZY01000004	PUL4	NZ_JHZY01000004.1_303	NZ_JHZY01000004.1	315115	316746	-	8	NZ_JHZY01000004.1_303		CBM91;GH43_10	
NZ_JHZY01000004	PUL4	NZ_JHZY01000004.1_304	NZ_JHZY01000004.1	316835	318463	-	89	NZ_JHZY01000004.1_304	susD		
NZ_JHZY01000004	PUL4	NZ_JHZY01000004.1_305	NZ_JHZY01000004.1	318468	321575	-	5	NZ_JHZY01000004.1_305	susC		
NZ_JHZY01000004	PUL4	NZ_JHZY01000004.1_306	NZ_JHZY01000004.1	321624	323138	-	49	NZ_JHZY01000004.1_306		GH28	
NZ_JHZY01000004	PUL5	NZ_JHZY01000004.1_321	NZ_JHZY01000004.1	340344	343583	+	17206	NZ_JHZY01000004.1_321	susC		
NZ_JHZY01000004	PUL5	NZ_JHZY01000004.1_322	NZ_JHZY01000004.1	343594	345087	+	11	NZ_JHZY01000004.1_322	susD		
NZ_JHZY01000004	PUL5	NZ_JHZY01000004.1_323	NZ_JHZY01000004.1	345097	346785	+	10	NZ_JHZY01000004.1_323			
NZ_JHZY01000004	PUL5	NZ_JHZY01000004.1_324	NZ_JHZY01000004.1	346826	348283	+	41	NZ_JHZY01000004.1_324			
NZ_JHZY01000004	PUL5	NZ_JHZY01000004.1_325	NZ_JHZY01000004.1	348304	351495	+	21	NZ_JHZY01000004.1_325	susC		
NZ_JHZY01000004	PUL6	NZ_JHZY01000004.1_355	NZ_JHZY01000004.1	386938	388284	-	35443	NZ_JHZY01000004.1_355	susD		
NZ_JHZY01000004	PUL6	NZ_JHZY01000004.1_356	NZ_JHZY01000004.1	388295	391759	-	11	NZ_JHZY01000004.1_356	susC		
NZ_JHZY01000004	PUL7	NZ_JHZY01000004.1_460	NZ_JHZY01000004.1	487852	491121	+	96093	NZ_JHZY01000004.1_460	susC		
NZ_JHZY01000004	PUL7	NZ_JHZY01000004.1_461	NZ_JHZY01000004.1	491132	492583	+	11	NZ_JHZY01000004.1_461	susD		
NZ_JHZY01000004	PUL7	NZ_JHZY01000004.1_462	NZ_JHZY01000004.1	492955	496155	+	372	NZ_JHZY01000004.1_462	susC		
NZ_JHZY01000004	PUL7	NZ_JHZY01000004.1_463	NZ_JHZY01000004.1	496162	497757	+	7	NZ_JHZY01000004.1_463	susD		
NZ_JHZY01000004	PUL8	NZ_JHZY01000004.1_578	NZ_JHZY01000004.1	634072	635583	-	136315	NZ_JHZY01000004.1_578	susD		
NZ_JHZY01000004	PUL8	NZ_JHZY01000004.1_579	NZ_JHZY01000004.1	635593	638847	-	10	NZ_JHZY01000004.1_579	susC		
NZ_JHZY01000004	PUL9	NZ_JHZY01000004.1_648	NZ_JHZY01000004.1	714432	717563	+	75585	NZ_JHZY01000004.1_648	susC		
NZ_JHZY01000004	PUL9	NZ_JHZY01000004.1_649	NZ_JHZY01000004.1	717576	719222	+	13	NZ_JHZY01000004.1_649	susD		
NZ_JHZY01000004	PUL10	NZ_JHZY01000004.1_902	NZ_JHZY01000004.1	1015095	1016903	-	295873	NZ_JHZY01000004.1_902	susD		
NZ_JHZY01000004	PUL10	NZ_JHZY01000004.1_903	NZ_JHZY01000004.1	1016921	1019956	-	18	NZ_JHZY01000004.1_903	susC		
NZ_JHZY01000004	PUL11	NZ_JHZY01000004.1_944	NZ_JHZY01000004.1	1071151	1072860	-	51195	NZ_JHZY01000004.1_944		GH39	
NZ_JHZY01000004	PUL11	NZ_JHZY01000004.1_945	NZ_JHZY01000004.1	1073035	1074228	-	175	NZ_JHZY01000004.1_945		CE1	
NZ_JHZY01000004	PUL11	NZ_JHZY01000004.1_946	NZ_JHZY01000004.1	1074673	1076901	-	445	NZ_JHZY01000004.1_946	susC		
NZ_JHZY01000004	PUL11	NZ_JHZY01000004.1_947	NZ_JHZY01000004.1	1077022	1077459	-	121	NZ_JHZY01000004.1_947			
NZ_JHZY01000004	PUL11	NZ_JHZY01000004.1_948	NZ_JHZY01000004.1	1077578	1077943	-	119	NZ_JHZY01000004.1_948			
NZ_JHZY01000004	PUL11	NZ_JHZY01000004.1_949	NZ_JHZY01000004.1	1077944	1078864	-	1	NZ_JHZY01000004.1_949			
NZ_JHZY01000004	PUL11	NZ_JHZY01000004.1_950	NZ_JHZY01000004.1	1078941	1080503	-	77	NZ_JHZY01000004.1_950			
