Organism,Scaffold,Start,End,Score,LT674130_1,LT674130_2,LT674130_3,LT674130_4,LT674130_5,LT674130_6,LT674130_7,LT674130_8,LT674130_9,LT674130_10,LT674130_11,LT674130_12,LT674130_13,LT674130_14,LT674130_15,LT674130_16,LT674130_17,LT674130_18,LT674130_19,LT674130_20,LT674130_21,LT674130_22,LT674130_23,LT674130_24,LT674130_25,LT674130_26,LT674130_27,LT674130_28,LT674130_29,LT674130_30,LT674130_31,LT674130_32,LT674130_33,LT674130_34,LT674130_35,LT674130_36,LT674130_37,LT674130_38
AP028031,AP028031.1,2700459,2703151,4.1394,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP173697,CP173697.1,2511833,2515234,9.1900,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP173697,CP173697.1,2530654,2533387,4.1121,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP173697,CP173697.1,2405342,2408075,4.1119,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP173697,CP173697.1,1896637,1902148,3.1406,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP929042,FP929042.1,3038232,3045750,22.4446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
FP929042,FP929042.1,3073149,3081550,9.1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1
FP929042,FP929042.1,243532,248144,7.2772,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP929042,FP929042.1,398611,402173,4.1118,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP929042,FP929042.1,467581,470317,4.1113,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT674130,LT674130.1,36,29087,73.7019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LT674131,LT674131.1,11672,16610,9.2955,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LT674132,LT674132.1,16693,21631,9.2955,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_012781,NC_012781.1,559794,564737,9.2881,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_012781,NC_012781.1,3274648,3278028,9.1929,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_015977,NC_015977.1,2734905,2738404,9.2001,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_015977,NC_015977.1,388934,392314,9.1973,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_015977,NC_015977.1,2925685,2928421,4.1121,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_AAYG02000020,NZ_AAYG02000020.1,56478,59211,4.1118,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_LR027880,NZ_LR027880.1,4455200,4457935,4.1121,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_LR027880,NZ_LR027880.1,3907828,3910563,4.1118,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
