Organism,Scaffold,Start,End,Score,NC_012781_224,NC_012781_225,NC_012781_226,NC_012781_227,NC_012781_228,NC_012781_229
CP173697,CP173697.1,2448882,2455157,6.2981,1,0,1,1,1,0
FP929042,FP929042.1,3230561,3237950,11.4631,1,1,1,1,1,1
GU591787,GU591787.1,20,6374,9.3449,1,1,1,1,1,0
NC_012781,NC_012781.1,236958,244278,11.4670,1,1,1,1,1,1
NZ_ACFY01000156,NZ_ACFY01000156.1,30157,36513,6.2910,1,1,0,1,1,0
NZ_CP022413,NZ_CP022413.2,447902,451446,5.2006,0,1,1,1,0,0
