genome	pulid	contigid	start	end	pattern
NZ_KB905472	PUL1	NZ_KB905472.1	1	9100	susC-susD-susC-susD
NZ_KB905472	PUL2	NZ_KB905472.1	424705	444394	GH25-unk-unk-unk-susD-susC-unk-susC-unk-unk-unk-unk-susD
NZ_KB905472	PUL3	NZ_KB905472.1	534318	559951	susC-susD-GH33;CBM93-GH20-unk-CE20-GH2_13-GH20-unk-GH20-GH92-GH2_1-CE9
NZ_KB905472	PUL4	NZ_KB905472.1	565630	584612	GH29-GH97-unk-susD-susC-unk-unk-unk-GH2_20-CE20
NZ_KB905472	PUL5	NZ_KB905472.1	664700	682351	susC-unk-unk-unk-unk-GH123_3-susD-susC-unk-unk-unk-susC
NZ_KB905472	PUL6	NZ_KB905472.1	2241267	2248286	susC-susD-GH20
NZ_KB905472	PUL7	NZ_KB905472.1	2329884	2335344	susD-susC
NZ_KB905472	PUL8	NZ_KB905472.1	2484467	2489725	susC-susD
NZ_KB905472	PUL9	NZ_KB905472.1	2667940	2675375	GH116-susD-susC
NZ_KB905472	PUL10	NZ_KB905472.1	2687308	2693885	susC-susD-GH109
NZ_KB905472	PUL11	NZ_KB905472.1	2857763	2862839	susD-susC
NZ_KB905472	PUL12	NZ_KB905472.1	2896393	2903960	GH92-susD-susC
NZ_KB905472	PUL13	NZ_KB905472.1	2904539	2911107	susC-susD-GH29
NZ_KB905472	PUL14	NZ_KB905472.1	2964790	2974154	susC-susD-unk-unk-GH31_4
NZ_KB905472	PUL15	NZ_KB905472.1	2990199	2997103	susC-susD-GH29-CBM32
NZ_KB905472	PUL16	NZ_KB905472.1	3002073	3012691	GH3-unk-unk-unk-susC-susD
NZ_KB905472	PUL17	NZ_KB905472.1	3073572	3087012	GH2_2-GH105-GH29-susD-susC-unk-unk-GT30
NZ_KB905472	PUL18	NZ_KB905472.1	3108550	3115600	susC-susD-unk-GH109
