Organism,Scaffold,Start,End,Score,CP067366_10,CP067366_11,CP067366_12,CP067366_13
CP017063,CP017063.1,590958,595824,7.2504,1,1,1,1
CP044228,CP044228.1,814632,820568,7.2487,1,1,1,1
EU670680,EU670680.1,424,5007,7.2850,1,1,1,1
FM179324,FM179324.1,50298,54866,7.2861,1,1,1,1
NC_010999,NC_010999.1,723921,728489,7.2848,1,1,1,1
NC_013199,NC_013199.1,633375,638120,7.2504,1,1,1,1
