genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
GL945092	PUL1	GL945092.1_1	GL945092.1	370	1185	+	0	GL945092.1_1		GH16_3	
GL945092	PUL1	GL945092.1_2	GL945092.1	1206	4394	+	21	GL945092.1_2	susC		
GL945092	PUL1	GL945092.1_3	GL945092.1	4406	6082	+	12	GL945092.1_3	susD		
GL945092	PUL1	GL945092.1_4	GL945092.1	6103	7365	+	21	GL945092.1_4			
GL945092	PUL1	GL945092.1_5	GL945092.1	7478	9772	+	113	GL945092.1_5		GH3	
GL945092	PUL2	GL945092.1_13	GL945092.1	16891	18093	-	7119	GL945092.1_13		PL38	
GL945092	PUL2	GL945092.1_14	GL945092.1	18214	18966	-	121	GL945092.1_14			
GL945092	PUL2	GL945092.1_15	GL945092.1	18991	20457	-	25	GL945092.1_15			
GL945092	PUL2	GL945092.1_16	GL945092.1	20462	20806	-	5	GL945092.1_16		AA18	
GL945092	PUL2	GL945092.1_17	GL945092.1	21043	23223	-	237	GL945092.1_17		PL17_2	
GL945092	PUL2	GL945092.1_18	GL945092.1	23297	25558	-	74	GL945092.1_18		PL6_1;PL6	
GL945092	PUL2	GL945092.1_19	GL945092.1	25565	27247	-	7	GL945092.1_19			
GL945092	PUL2	GL945092.1_20	GL945092.1	27268	28788	-	21	GL945092.1_20	susD		
GL945092	PUL2	GL945092.1_21	GL945092.1	28801	31983	-	13	GL945092.1_21	susC		
GL945092	PUL3	GL945092.1_25	GL945092.1	33841	36345	-	1858	GL945092.1_25		GH31	
GL945092	PUL3	GL945092.1_26	GL945092.1	36382	38160	-	37	GL945092.1_26		GH66	
GL945092	PUL3	GL945092.1_27	GL945092.1	38175	39689	-	15	GL945092.1_27			
GL945092	PUL3	GL945092.1_28	GL945092.1	39726	41216	-	37	GL945092.1_28	susD		
GL945092	PUL3	GL945092.1_29	GL945092.1	41232	44321	-	16	GL945092.1_29	susC		
GL945092	PUL4	GL945092.1_34	GL945092.1	48607	50817	-	4286	GL945092.1_34		GH2_18	
GL945092	PUL4	GL945092.1_35	GL945092.1	50817	52484	-	0	GL945092.1_35			
GL945092	PUL4	GL945092.1_36	GL945092.1	52481	53611	-	-3	GL945092.1_36		GH43	
GL945092	PUL4	GL945092.1_37	GL945092.1	53642	55189	-	31	GL945092.1_37			
GL945092	PUL4	GL945092.1_38	GL945092.1	55282	57336	-	93	GL945092.1_38		GH51_2	
GL945092	PUL4	GL945092.1_39	GL945092.1	57423	57548	+	87	GL945092.1_39			
GL945092	PUL4	GL945092.1_40	GL945092.1	57545	61555	+	-3	GL945092.1_40			
GL945092	PUL4	GL945092.1_41	GL945092.1	61632	62585	+	77	GL945092.1_41			
GL945092	PUL4	GL945092.1_42	GL945092.1	62718	63620	-	133	GL945092.1_42			
GL945092	PUL4	GL945092.1_43	GL945092.1	63650	65446	-	30	GL945092.1_43	susD		
GL945092	PUL4	GL945092.1_44	GL945092.1	65472	68555	-	26	GL945092.1_44	susC		
GL945092	PUL4	GL945092.1_45	GL945092.1	68578	70464	-	23	GL945092.1_45	susD		
GL945092	PUL4	GL945092.1_46	GL945092.1	70485	73679	-	21	GL945092.1_46	susC		
GL945092	PUL4	GL945092.1_47	GL945092.1	73814	74803	-	135	GL945092.1_47		GH43_31	
GL945092	PUL5	GL945092.1_56	GL945092.1	88117	91437	+	13314	GL945092.1_56	susC		
GL945092	PUL5	GL945092.1_57	GL945092.1	91452	93134	+	15	GL945092.1_57	susD		
GL945092	PUL6	GL945092.1_69	GL945092.1	108714	109808	-	15580	GL945092.1_69		GH99	
GL945092	PUL6	GL945092.1_70	GL945092.1	109821	111338	-	13	GL945092.1_70	susD		
GL945092	PUL6	GL945092.1_71	GL945092.1	111515	114706	-	177	GL945092.1_71	susC		
GL945092	PUL6	GL945092.1_72	GL945092.1	114937	117195	+	231	GL945092.1_72		GH92	
GL945092	PUL7	GL945092.1_90	GL945092.1	139753	143106	+	22558	GL945092.1_90	susC		
GL945092	PUL7	GL945092.1_91	GL945092.1	143123	144646	+	17	GL945092.1_91	susD		
GL945092	PUL8	GL945092.1_153	GL945092.1	212639	214072	-	67993	GL945092.1_153		CE20	
GL945092	PUL8	GL945092.1_154	GL945092.1	214339	217611	+	267	GL945092.1_154	susC		
GL945092	PUL8	GL945092.1_155	GL945092.1	217642	219453	+	31	GL945092.1_155	susD		
GL945092	PUL8	GL945092.1_156	GL945092.1	219474	221288	+	21	GL945092.1_156		PL35	
GL945092	PUL8	GL945092.1_157	GL945092.1	221313	223244	+	25	GL945092.1_157		PL35	
GL945092	PUL8	GL945092.1_158	GL945092.1	223260	224438	+	16	GL945092.1_158		GH88	
GL945092	PUL9	GL945092.1_174	GL945092.1	246177	247829	+	21739	GL945092.1_174		GH18	
GL945092	PUL9	GL945092.1_175	GL945092.1	247859	251215	+	30	GL945092.1_175	susC		
GL945092	PUL9	GL945092.1_176	GL945092.1	251229	253043	+	14	GL945092.1_176	susD		
GL945092	PUL9	GL945092.1_177	GL945092.1	253087	254910	+	44	GL945092.1_177			
GL945092	PUL9	GL945092.1_178	GL945092.1	255009	257333	+	99	GL945092.1_178		GH20	
