sequence_id	cluster_id	start	end	tax_id
NZ_GG692714	PUL0001	156723	175880	166486
D83026	PUL0002	10377	12234	1423
NC_000964	PUL0003	1942714	1945654	1423
KM624528	PUL0004	1	3311	77133
NC_003212	PUL0005	1844298	1849726	1642
KF840174	PUL0006	236	13867	1422
LN890332	PUL0007	5399	15957	1244
NC_004663	PUL0008	2164759	2186087	818
NC_013515	PUL0009	121344	139674	34105
NC_009328	PUL0010	1855422	1909199	33940
NC_002505	PUL0012	642814	661623	666
NZ_CP020030	PUL0014	2035523	2046640	33940
NC_009004	PUL0015	1209752	1217592	1358
NC_009004	PUL0016	428397	433134	1358
NC_011898	PUL0017	2466252	2481041	1521
NC_003098	PUL0018	285103	298853	1313
Z49992	PUL0019	186	6736	1423
NC_013199	PUL0020	2717307	2734087	47715
NC_008526	PUL0021	2647312	2663903	1582
NC_016023	PUL0022	736768	743451	1398
NC_016023	PUL0023	839150	844231	1398
HE717008	PUL0024	1	14712	77133
AE015928	PUL0026	3477149	3489799	818
AF027499	PUL0027	1	5575	354
NZ_AAYG02000020	PUL0028	134626	149292	33038
NC_015067	PUL0029	2209677	2271573	216816
KU644713	PUL0030	1	16598	122631
NC_004307	PUL0031	126816	130943	216816
NC_004307	PUL0032	1500956	1505431	216816
AY230005	PUL0033	53	6090	2133
CP001655	PUL0034	2245522	2247504	556
CP001655	PUL0035	2247754	2253663	556
AE005672	PUL0037	1798266	1808537	1313
AF135398	PUL0038	1	10050	56956
AF135399	PUL0039	770	5022	274
AF316823	PUL0040	1	11489	1521
U61727	PUL0041	1	3733	571
CP001340	PUL0042	1311323	1319129	155892
AAXF02000051	PUL0044	128613	194006	28116
DS264583	PUL0045	286501	307432	28116
NC_004350	PUL0048	1910627	1915135	1309
LT796702	PUL0049	173	31111	1861841
LT796703	PUL0050	70	23956	1861841
CP002534	PUL0051	303130	314951	979
CP000449	PUL0052	288889	301419	74318
AM743169	PUL0053	2619918	2632750	40324
CP003873	PUL0054	1019219	1032616	28108
GL945092	PUL0055	21043	32944	457387
NZ_DS995511	PUL0056	374866	385955	28111
Z25795	PUL0058	463	8375	1423
DS264579	PUL0063	32561	60327	28116
EQ973490	PUL0064	1996377	2022549	246787
DS362223	PUL0065	43453	71885	820
GL882630	PUL0066	4456	29812	626930
GL891979	PUL0067	376649	402405	156974
AM886293	PUL0068	23902	29914	562
L18965	PUL0078	1	6760	28238
BA000032	PUL0081	67900	82169	670
SIWZ01000001	PUL0082	3978451	3984965	1423
ACXX02000019	PUL0083	49158	73811	29362
ACXX02000002	PUL0084	36152	61034	29362
ACXX02000019	PUL0085	86335	92472	29362
ACXX02000002	PUL0086	63554	69417	29362
ACXX02000007	PUL0087	23245	29169	29362
M77351	PUL0088	290	10896	1309
ACXX02000001	PUL0089	231005	233522	29362
CP000139	PUL0091	5083180	5098444	821
CP000139	PUL0092	5092673	5110584	821
LR131278	PUL0093	76	36757	77133
LR131279	PUL0094	41	41664	77133
LR131281	PUL0095	28	29389	77133
LR131286	PUL0096	29	34237	77133
NZ_KB905472	PUL0097	535723	561211	204516
NZ_DS990126	PUL0098	30380	44393	310297
NZ_GG692727	PUL0099	64567	74095	166486
NZ_CP027060	PUL0100	4090005	4095238	562
NZ_DS990126	PUL0101	54056	84377	310297
LR131274	PUL0102	620	32300	77133
LR131282	PUL0103	26	32565	77133
LR131283	PUL0104	35	30809	77133
LR131284	PUL0105	577	44510	77133
LR131285	PUL0106	35	33387	77133
LR131275	PUL0107	175	27831	77133
NZ_NFHS01000001	PUL0108	745835	779958	820
LR131277	PUL0109	26	32565	77133
LR131280	PUL0110	35	30809	77133
U00096	PUL0111	4340720	4344790	562
LR131276	PUL0112	4	35955	77133
NZ_GG697150	PUL0113	404290	430480	853
CP001348	PUL0114	1505662	1537237	1521
AE015928	PUL0115	557455	572833	818
AE015928	PUL0116	626800	629842	818
AE015928	PUL0117	1300094	1337010	818
NZ_DS362241	PUL0118	149200	163732	820
AE015928	PUL0120	5798923	5807973	818
NC_023151	PUL0122	1598265	1608135	2336
LR136958	PUL0126	1950044	1962304	2358187
LR136958	PUL0127	3936797	3956397	2358187
Ga0139390_150	PUL0129	30256	49978	749906
FP476056	PUL0132	249036	267488	63186
MH687413	PUL0135	1	27138	53249
ADOP01000016	PUL0136	43718	80113	228
CP028460	PUL0137	589943	596176	302912
CP028460	PUL0138	1879108	1890055	302912
CP028460	PUL0139	61377	75411	302912
CP028460	PUL0140	622448	639066	302912
CP028460	PUL0141	153312	158539	302912
CP028460	PUL0142	1843829	1850807	302912
AP006878	PUL0144	1552919	1569129	311400
CP000388	PUL0146	1036849	1074395	288
NZ_LT965930	PUL0147	17040	67290	227
FP476056	PUL0148	3634325	3657429	63186
FP476056	PUL0149	2560055	2579666	63186
LT965928	PUL0150	1244357	1267465	227
FP476056	PUL0151	3067454	3083329	63186
CP000388	PUL0152	4406812	4416529	288
MSTC01000081	PUL0153	673	5238	47715
MSTC01000063	PUL0154	16530	21163	47715
AE007870	PUL0155	11703	21103	1176649
MSTC01000055	PUL0156	620	3443	47715
MSTB01000008	PUL0157	16506	21136	47715
NC_013199	PUL0158	311240	315872	47715
FM179324	PUL0159	40411	43234	47715
NZ_JQNQ01000001	PUL0160	1815119	1861584	1250278
NC_004663	PUL0161	3262908	3301755	818
NC_004663	PUL0162	5012915	5035451	818
NC_004663	PUL0163	4893415	4930042	818
NZ_JHZY01000004	PUL0164	1690359	1719497	1392489
NZ_JQNQ01000001	PUL0165	2251021	2277198	1250278
NC_016776	PUL0166	3710042	3720606	817
AAXF02000047	PUL0167	109596	128600	28116
AE005176	PUL0168	2053080	2066266	1360
AM039952	PUL0169	3088883	3109438	456327
FQ312004	PUL0171	4060271	4070266	817
CP001736	PUL0174	4338948	4346415	182640
AY526725	PUL0175	111	5257	39650
CP001736	PUL0176	1994155	2001711	182640
AAXF02000047	PUL0178	106585	128684	28116
JH724241	PUL0179	777587	798381	28116
CR626927	PUL0180	973099	1007603	817
AE007317	PUL0186	274499	281042	1313
NC_012914	PUL0187	1124076	1136568	324057
FP929033	PUL0189	736268	774130	371601
FP929033	PUL0190	1841730	1872020	371601
FP929033	PUL0191	3988941	4010183	371601
FP929033	PUL0192	4024208	4079442	371601
FP929033	PUL0193	4080557	4141706	371601
AE005672	PUL0194	2050572	2061389	1313
NC_003030	PUL0195	444719	451147	1488
NC_010999	PUL0196	288852	300044	1582
NC_004350	PUL0197	1488085	1497922	1309
NC_007912	PUL0199	4176251	4200317	86304
NC_004663	PUL0204	4800873	4814851	818
NC_004663	PUL0205	3910956	3923822	818
NC_004368	PUL0207	1951803	1958763	1311
AH007017	PUL0208	89	8199	43657
CP002038	PUL0209	3416624	3428226	204038
