sequence_id	length
CP091797	1104623
CP118723	4965686
CP137763	2378960
CP067366	63181
EU058944	744
Z80834	5219
AF160811	10671
KU547913	6769
LT674131	35820
LT674123	35883
CP144686	249487
CP132737	355922
OZ282469	2777239
LR594814	42594
CP180383	1944301
CP120613	4204738
CP147877	4217427
CP172847	2073547
CP014864	3938396
LT674128	44062
LT674132	30877
GU591787	7858
LR131274	33103
LR027880	4493348
CP094361	4210909
LT674126	32370
LR594820	36268
CP002160	5262222
CP136114	2958057
CP137048	2393385
CP054261	38269
CP016019	2421287
LR594809	36481
AM285304	290001
CP072197	2239089
CP109280	6066002
CP128458	3654319
CP195156	2989042
CP176406	4960033
AP042441	3385412
CP102259	6472384
LT622246	6475296
CP092752	5617899
LT674124	40408
CP001128	1884540
AB025721	2376
CP065889	4728573
AM889285	3944163
AP028031	2804089
JQ963622	1923
CP001656	7184930
CP008934	3654829
CP081505	2884138
CP098927	5310763
EU065883	565
CP166135	64513
AB669414	2220
CP128449	3471328
CP016312	2035182
CP012938	6472489
AP009044	3314179
CP001348	4068724
AF278706	12195
LN554884	2786686
CP119677	5027861
OZ022649	30213
CP034973	3063065
CP175305	243513
AY534912	2058
CP045181	2837676
CP132316	3810368
CP002745	5186898
