Organism,Scaffold,Start,End,Score,CP176406_341,CP176406_342,CP176406_343,CP176406_344,CP176406_345
AE006468,AE006468.2,3698923,3708307,9.5956,1,1,1,1,1
AOMX01000002,AOMX01000002.1,1111455,1120824,9.6418,1,1,1,1,1
CP001655,CP001655.1,267333,276774,6.3917,1,0,1,1,1
CP002038,CP002038.1,4488452,4497886,6.3925,1,0,1,1,1
CP098927,CP098927.1,4682143,4691512,9.6422,1,1,1,1,1
CP118723,CP118723.1,4657808,4667421,6.3933,1,0,1,1,1
CP176406,CP176406.1,356353,365722,9.6430,1,1,1,1,1
NC_007946,NC_007946.1,3826295,3835664,9.6399,1,1,1,1,1
NZ_HG326223,NZ_HG326223.1,4130999,4140613,6.3929,1,0,1,1,1
NZ_JAEFCJ010000001,NZ_JAEFCJ010000001.1,309914,319283,9.6414,1,1,1,1,1
