Organism,Scaffold,Start,End,Score,CP176406_240,CP176406_241,CP176406_242
AE006468,AE006468.2,3797429,3803491,5.3534,1,1,1
AOMX01000002,AOMX01000002.1,1262811,1268929,5.4007,1,1,1
CP098927,CP098927.1,4815927,4822009,5.4052,1,1,1
CP176406,CP176406.1,236594,242676,5.4066,1,1,1
NC_007946,NC_007946.1,3955773,3961855,5.4043,1,1,1
NZ_JAEFCJ010000001,NZ_JAEFCJ010000001.1,183042,189124,5.4042,1,1,1
