Organism,Scaffold,Start,End,Score,CP001095_2405,CP001095_2406,CP001095_2407,CP001095_2408,CP001095_2409,CP001095_2410,CP001095_2411,CP001095_2412,CP001095_2413,CP001095_2414,CP001095_2415,CP001095_2416,CP001095_2417,CP001095_2418,CP001095_2419,CP001095_2420,CP001095_2421,CP001095_2422,CP001095_2423,CP001095_2424,CP001095_2425,CP001095_2426,CP001095_2427,CP001095_2428,CP001095_2429,CP001095_2430,CP001095_2431,CP001095_2432,CP001095_2433,CP001095_2434
CP000303,CP000303.1,1603797,1608689,4.2305,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP001095,CP001095.1,2593831,2636747,57.5778,2,1,0,1,1,1,1,1,1,1,1,2,2,6,2,2,6,1,1,6,6,6,6,1,1,1,1,1,1,1
CP006712,CP006712.1,1498873,1503765,4.2313,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_004307,NC_004307.2,788532,793456,4.2958,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_011593,NC_011593.1,2593831,2636747,54.4966,2,1,0,1,1,1,1,1,1,1,1,2,2,6,2,2,6,0,1,6,6,6,6,1,1,1,1,1,1,1
NC_020517,NC_020517.1,1603797,1608689,4.2305,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_AP012330,NZ_AP012330.1,2203683,2214323,8.4899,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_AP022379,NZ_AP022379.1,804980,809927,4.2958,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CP079235,NZ_CP079235.1,215066,219195,2.0768,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_PJDX01000003,NZ_PJDX01000003.1,155376,163481,11.4289,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
