Organism,Scaffold,Start,End,Score,NZ_BLYL01000009_11,NZ_BLYL01000009_12,NZ_BLYL01000009_13,NZ_BLYL01000009_14,NZ_BLYL01000009_15,NZ_BLYL01000009_16
NZ_BLYL01000009,NZ_BLYL01000009.1,14989,22272,11.4230,1,1,1,1,1,1
NZ_CP022413,NZ_CP022413.2,410087,413934,5.2118,0,0,1,1,1,0
NZ_CP084061,NZ_CP084061.1,4857021,4860913,5.2100,0,0,1,1,1,0
