genome	pulid	contigid	start	end	pattern
NZ_VISB01000001	PUL1	NZ_VISB01000001.1	223183	243510	CE20-GH43_1-unk-GH10-unk-GH67-unk-susD-susC
NZ_VISB01000001	PUL2	NZ_VISB01000001.1	354169	366479	GH3-CE1-GH144-GH144-unk-unk-susD-susC
NZ_VISB01000001	PUL3	NZ_VISB01000001.1	850561	861214	GH28-GH92-unk-susD-susC
NZ_VISB01000001	PUL4	NZ_VISB01000001.1	1129212	1138616	susD-susC-GH20-unk-CBM9
NZ_VISB01000001	PUL5	NZ_VISB01000001.1	1310916	1326126	CBM67;GH78-GH78;CBM67-susD-susC-susD-susC
NZ_VISB01000001	PUL6	NZ_VISB01000001.1	1940266	1944708	susD-susC
NZ_VISB01000001	PUL7	NZ_VISB01000001.1	2263644	2274620	GH13_38-GH65-unk-unk-susC-susD
NZ_VISB01000001	PUL8	NZ_VISB01000001.1	2862699	2867333	susD-susC
NZ_VISB01000001	PUL9	NZ_VISB01000001.1	3070942	3087191	susD-susC-unk-unk-unk-susC-unk-unk-unk-unk-susC-unk-susC
NZ_VISB01000001	PUL10	NZ_VISB01000001.1	3242363	3254369	GH33-GH29-GH177-unk-unk-unk-susD-susC
NZ_VISB01000001	PUL11	NZ_VISB01000001.1	3274224	3314997	CE12-GH2_11-CE12-GH115-unk-GH28-unk-unk-GH105-unk-unk-susD-susC-susD-susC-unk-GH31_9-GH106-GH105-GH43_18-CBM67;GH78-GH179
NZ_VISB01000001	PUL12	NZ_VISB01000001.1	3647822	3652717	susD-susC
NZ_VISB01000001	PUL13	NZ_VISB01000001.1	3923241	3942298	susC-susD-unk-GH105-GH105-unk-PL10_1;CE8-unk-CE12-unk-unk-GH43_34;GH43_19-GH51_1
NZ_VISB01000001	PUL14	NZ_VISB01000001.1	3958175	3965713	susC-susD-unk-GH188
NZ_VISB01000001	PUL15	NZ_VISB01000001.1	3990154	3994790	susD-susC
NZ_VISB01000001	PUL16	NZ_VISB01000001.1	4324182	4343896	CE1-unk-susD-susC-unk-unk-susD-susC
