Organism,Scaffold,Start,End,Score,NZ_CP098511_1814,NZ_CP098511_1815,NZ_CP098511_1816,NZ_CP098511_1817,NZ_CP098511_1818,NZ_CP098511_1819,NZ_CP098511_1820,NZ_CP098511_1821,NZ_CP098511_1822,NZ_CP098511_1823,NZ_CP098511_1824,NZ_CP098511_1825,NZ_CP098511_1826,NZ_CP098511_1827,NZ_CP098511_1828,NZ_CP098511_1829,NZ_CP098511_1830,NZ_CP098511_1831,NZ_CP098511_1832,NZ_CP098511_1833,NZ_CP098511_1834,NZ_CP098511_1835,NZ_CP098511_1836,NZ_CP098511_1837,NZ_CP098511_1838,NZ_CP098511_1839,NZ_CP098511_1840,NZ_CP098511_1841,NZ_CP098511_1842,NZ_CP098511_1843,NZ_CP098511_1844,NZ_CP098511_1845,NZ_CP098511_1846,NZ_CP098511_1847,NZ_CP098511_1848,NZ_CP098511_1849,NZ_CP098511_1850,NZ_CP098511_1851
CP002534,CP002534.1,422427,428237,7.2325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
FP476056,FP476056.1,5371786,5377595,7.2316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
NC_014934,NC_014934.1,2902251,2908068,7.2297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
NC_015167,NC_015167.1,422427,428237,7.2325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
NZ_CP009976,NZ_CP009976.1,2342648,2350701,7.2317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
NZ_CP014224,NZ_CP014224.1,375113,388095,8.2883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
NZ_CP074436,NZ_CP074436.1,406800,412902,7.2286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
NZ_CP098511,NZ_CP098511.1,2147166,2215680,72.7847,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_KI912107,NZ_KI912107.1,5815753,5820310,4.1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
