genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
JUET01000139	PUL1	JUET01000139.1_5	JUET01000139.1	4861	6786	-	0	JUET01000139.1_5		PL33	
JUET01000139	PUL1	JUET01000139.1_6	JUET01000139.1	6823	8373	-	37	JUET01000139.1_6			
JUET01000139	PUL1	JUET01000139.1_7	JUET01000139.1	8370	9512	-	-3	JUET01000139.1_7			
JUET01000139	PUL1	JUET01000139.1_8	JUET01000139.1	9526	10368	-	14	JUET01000139.1_8			
JUET01000139	PUL1	JUET01000139.1_9	JUET01000139.1	10567	12273	-	199	JUET01000139.1_9	susD		
JUET01000139	PUL1	JUET01000139.1_10	JUET01000139.1	12285	15410	-	12	JUET01000139.1_10	susC		
JUET01000139	PUL1	JUET01000139.1_11	JUET01000139.1	15468	16685	-	58	JUET01000139.1_11		GH88	
JUET01000139	PUL2	JUET01000139.1_19	JUET01000139.1	22473	24233	-	5788	JUET01000139.1_19		GT83	
JUET01000139	PUL2	JUET01000139.1_20	JUET01000139.1	24314	25414	-	81	JUET01000139.1_20			
JUET01000139	PUL2	JUET01000139.1_21	JUET01000139.1	25416	26546	-	2	JUET01000139.1_21			
JUET01000139	PUL2	JUET01000139.1_22	JUET01000139.1	26788	27627	+	242	JUET01000139.1_22			
JUET01000139	PUL2	JUET01000139.1_23	JUET01000139.1	27832	29958	+	205	JUET01000139.1_23		GH97	
JUET01000139	PUL2	JUET01000139.1_24	JUET01000139.1	29978	33022	+	20	JUET01000139.1_24	susC		
JUET01000139	PUL2	JUET01000139.1_25	JUET01000139.1	33047	34630	+	25	JUET01000139.1_25	susD		
JUET01000139	PUL3	JUET01000139.1_61	JUET01000139.1	76508	78895	+	41878	JUET01000139.1_61	susC		
JUET01000139	PUL3	JUET01000139.1_62	JUET01000139.1	78913	80187	+	18	JUET01000139.1_62			
JUET01000139	PUL3	JUET01000139.1_63	JUET01000139.1	80201	81664	+	14	JUET01000139.1_63			
JUET01000139	PUL3	JUET01000139.1_64	JUET01000139.1	81768	82700	+	104	JUET01000139.1_64			
JUET01000139	PUL3	JUET01000139.1_65	JUET01000139.1	82766	85108	+	66	JUET01000139.1_65	susC		
JUET01000139	PUL3	JUET01000139.1_66	JUET01000139.1	85151	85633	+	43	JUET01000139.1_66			
JUET01000139	PUL3	JUET01000139.1_67	JUET01000139.1	85647	87119	+	14	JUET01000139.1_67			
JUET01000139	PUL3	JUET01000139.1_68	JUET01000139.1	87387	88601	-	268	JUET01000139.1_68			
JUET01000139	PUL3	JUET01000139.1_69	JUET01000139.1	88609	90687	-	8	JUET01000139.1_69		CE20	
JUET01000139	PUL3	JUET01000139.1_70	JUET01000139.1	90705	92546	-	18	JUET01000139.1_70		GH20	
JUET01000139	PUL3	JUET01000139.1_71	JUET01000139.1	92699	94318	-	153	JUET01000139.1_71		CBM93;GH33	
JUET01000139	PUL3	JUET01000139.1_72	JUET01000139.1	94399	95967	-	81	JUET01000139.1_72	susD		
JUET01000139	PUL3	JUET01000139.1_73	JUET01000139.1	95998	99381	-	31	JUET01000139.1_73	susC		
