genome	pulid	contigid	start	end	pattern
NZ_JHZY01000004	PUL1	NZ_JHZY01000004.1	96081	101113	susC-susD
NZ_JHZY01000004	PUL2	NZ_JHZY01000004.1	260201	265028	susD-susC
NZ_JHZY01000004	PUL3	NZ_JHZY01000004.1	271519	296466	GH20-CE9-unk-GH20-unk-unk-CBM96-susD-susC-unk-GH146-unk-unk-unk-susD-susC
NZ_JHZY01000004	PUL4	NZ_JHZY01000004.1	310003	323138	AA18-unk-unk-CE12-CE8-CBM91;GH43_10-susD-susC-GH28
NZ_JHZY01000004	PUL5	NZ_JHZY01000004.1	340344	351495	susC-susD-unk-unk-susC
NZ_JHZY01000004	PUL6	NZ_JHZY01000004.1	386938	391759	susD-susC
NZ_JHZY01000004	PUL7	NZ_JHZY01000004.1	487852	497757	susC-susD-susC-susD
NZ_JHZY01000004	PUL8	NZ_JHZY01000004.1	634072	638847	susD-susC
NZ_JHZY01000004	PUL9	NZ_JHZY01000004.1	714432	719222	susC-susD
NZ_JHZY01000004	PUL10	NZ_JHZY01000004.1	1015095	1019956	susD-susC
NZ_JHZY01000004	PUL11	NZ_JHZY01000004.1	1071151	1085446	GH39-CE1-susC-unk-unk-unk-unk-susD-susC
NZ_JHZY01000004	PUL12	NZ_JHZY01000004.1	1092706	1103128	susC-susD-GH144-GH144-CE1-GH3
NZ_JHZY01000004	PUL13	NZ_JHZY01000004.1	1690359	1723700	CE2-CE20-GH3-GH5_7-GH26-unk-GH130_1-unk-GH26-unk-GH5_2-susC-susD-unk-GH27-unk-GH9-GH26-unk-unk-susC
NZ_JHZY01000004	PUL14	NZ_JHZY01000004.1	1733681	1749644	GH35-unk-unk-unk-unk-susD-susC
NZ_JHZY01000004	PUL15	NZ_JHZY01000004.1	1850228	1854883	susD-susC
NZ_JHZY01000004	PUL16	NZ_JHZY01000004.1	1977908	1982597	susD-susC
