Organism,Scaffold,Start,End,Score,CP012801_907,CP012801_908,CP012801_909,CP012801_910,CP012801_911,CP012801_912,CP012801_913,CP012801_914,CP012801_915,CP012801_916,CP012801_917,CP012801_918,CP012801_919,CP012801_920,CP012801_921,CP012801_922
AAXF02000045,AAXF02000045.1,75191,89437,16.7705,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
ABJL02000008,ABJL02000008.1,858933,872593,15.7424,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
AE015928,AE015928.1,417721,429890,15.6542,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
CP000139,CP000139.1,2993265,3000969,8.3216,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
CP000139,CP000139.1,1334775,1343516,4.3991,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
CP012801,CP012801.1,925122,954278,32.8626,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CP129143,CP129143.1,2921056,2930222,12.5458,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
FP929033,FP929033.1,1841729,1871055,24.2414,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
HF548278,HF548278.1,491,13280,12.5276,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1
LT622246,LT622246.1,4044789,4059035,16.7688,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
NC_004663,NC_004663.1,417721,429890,15.6542,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
NC_009614,NC_009614.1,2993265,3000969,8.3216,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
NC_009614,NC_009614.1,1334775,1343516,4.3991,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
NZ_ABJL02000008,NZ_ABJL02000008.1,858933,872593,15.7424,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
NZ_CP012938,NZ_CP012938.1,277900,292146,16.7705,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
NZ_CP046176,NZ_CP046176.1,1292539,1300243,8.3204,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
NZ_CP046176,NZ_CP046176.1,5234023,5242770,4.3993,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
NZ_CP102288,NZ_CP102288.1,866380,872015,3.2007,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
NZ_CP113514,NZ_CP113514.1,2178620,2192876,13.6672,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1
NZ_DS362241,NZ_DS362241.1,16739,25905,12.5458,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
NZ_DS990126,NZ_DS990126.1,105557,121319,8.5839,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
NZ_DS990130,NZ_DS990130.1,701188,707038,8.3159,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
