genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
JABKKG010000005	PUL1	JABKKG010000005.1_39	JABKKG010000005.1	52557	54842	-	0	JABKKG010000005.1_39	susD		
JABKKG010000005	PUL1	JABKKG010000005.1_40	JABKKG010000005.1	54856	58200	-	14	JABKKG010000005.1_40	susC		
JABKKG010000005	PUL1	JABKKG010000005.1_41	JABKKG010000005.1	58253	59695	-	53	JABKKG010000005.1_41			
JABKKG010000005	PUL1	JABKKG010000005.1_42	JABKKG010000005.1	59777	60655	-	82	JABKKG010000005.1_42			
JABKKG010000005	PUL1	JABKKG010000005.1_43	JABKKG010000005.1	60839	61807	-	184	JABKKG010000005.1_43		PL1_2	
JABKKG010000005	PUL1	JABKKG010000005.1_44	JABKKG010000005.1	61815	62486	-	8	JABKKG010000005.1_44		PL1_2	
JABKKG010000005	PUL1	JABKKG010000005.1_45	JABKKG010000005.1	62748	62873	-	262	JABKKG010000005.1_45			
JABKKG010000005	PUL1	JABKKG010000005.1_46	JABKKG010000005.1	63363	63458	+	490	JABKKG010000005.1_46			
JABKKG010000005	PUL1	JABKKG010000005.1_47	JABKKG010000005.1	63547	64515	+	89	JABKKG010000005.1_47		PL1_2	
JABKKG010000005	PUL1	JABKKG010000005.1_48	JABKKG010000005.1	64699	65577	+	184	JABKKG010000005.1_48			
JABKKG010000005	PUL1	JABKKG010000005.1_49	JABKKG010000005.1	65792	67288	+	215	JABKKG010000005.1_49			
JABKKG010000005	PUL1	JABKKG010000005.1_50	JABKKG010000005.1	67314	70634	+	26	JABKKG010000005.1_50	susC		
JABKKG010000005	PUL1	JABKKG010000005.1_51	JABKKG010000005.1	70673	72877	+	39	JABKKG010000005.1_51	susD		
JABKKG010000005	PUL2	JABKKG010000005.1_79	JABKKG010000005.1	106573	108564	-	33696	JABKKG010000005.1_79		GH67	
JABKKG010000005	PUL2	JABKKG010000005.1_80	JABKKG010000005.1	108688	109884	+	124	JABKKG010000005.1_80			
JABKKG010000005	PUL2	JABKKG010000005.1_81	JABKKG010000005.1	109993	111381	+	109	JABKKG010000005.1_81			
JABKKG010000005	PUL2	JABKKG010000005.1_82	JABKKG010000005.1	111378	112505	+	-3	JABKKG010000005.1_82		GH10	
JABKKG010000005	PUL2	JABKKG010000005.1_83	JABKKG010000005.1	112619	113590	+	114	JABKKG010000005.1_83		GH43_1	
JABKKG010000005	PUL2	JABKKG010000005.1_84	JABKKG010000005.1	113887	115956	-	297	JABKKG010000005.1_84		GH43_35	
JABKKG010000005	PUL2	JABKKG010000005.1_85	JABKKG010000005.1	116151	117089	-	195	JABKKG010000005.1_85			
JABKKG010000005	PUL2	JABKKG010000005.1_86	JABKKG010000005.1	117118	118383	-	29	JABKKG010000005.1_86		GH5_21	
JABKKG010000005	PUL2	JABKKG010000005.1_87	JABKKG010000005.1	118518	120668	-	135	JABKKG010000005.1_87		GH10	
JABKKG010000005	PUL2	JABKKG010000005.1_88	JABKKG010000005.1	120685	121716	-	17	JABKKG010000005.1_88			
JABKKG010000005	PUL2	JABKKG010000005.1_89	JABKKG010000005.1	121762	123564	-	46	JABKKG010000005.1_89	susD		
JABKKG010000005	PUL2	JABKKG010000005.1_90	JABKKG010000005.1	123606	126509	-	42	JABKKG010000005.1_90	susC		
JABKKG010000005	PUL2	JABKKG010000005.1_91	JABKKG010000005.1	126588	128537	-	79	JABKKG010000005.1_91	susD		
JABKKG010000005	PUL2	JABKKG010000005.1_92	JABKKG010000005.1	128570	131746	-	33	JABKKG010000005.1_92	susC		
JABKKG010000005	PUL2	JABKKG010000005.1_93	JABKKG010000005.1	131868	132029	+	122	JABKKG010000005.1_93			
JABKKG010000005	PUL2	JABKKG010000005.1_94	JABKKG010000005.1	132148	132564	+	119	JABKKG010000005.1_94			
JABKKG010000005	PUL2	JABKKG010000005.1_95	JABKKG010000005.1	132664	132789	+	100	JABKKG010000005.1_95			
JABKKG010000005	PUL2	JABKKG010000005.1_96	JABKKG010000005.1	133097	137038	-	308	JABKKG010000005.1_96			
JABKKG010000005	PUL2	JABKKG010000005.1_97	JABKKG010000005.1	137375	138706	-	337	JABKKG010000005.1_97		CE6	
JABKKG010000005	PUL2	JABKKG010000005.1_98	JABKKG010000005.1	138731	141208	-	25	JABKKG010000005.1_98		CE1;CBM6;GH43_29	
JABKKG010000005	PUL2	JABKKG010000005.1_99	JABKKG010000005.1	141590	143008	-	382	JABKKG010000005.1_99			
JABKKG010000005	PUL2	JABKKG010000005.1_100	JABKKG010000005.1	143033	145798	-	25	JABKKG010000005.1_100	susC		
JABKKG010000005	PUL3	JABKKG010000005.1_196	JABKKG010000005.1	281303	283396	-	135505	JABKKG010000005.1_196	susD		
JABKKG010000005	PUL3	JABKKG010000005.1_197	JABKKG010000005.1	283412	286732	-	16	JABKKG010000005.1_197	susC		
JABKKG010000005	PUL4	JABKKG010000005.1_198	JABKKG010000005.1	287405	290779	+	673	JABKKG010000005.1_198	susC		
JABKKG010000005	PUL4	JABKKG010000005.1_199	JABKKG010000005.1	290801	292615	+	22	JABKKG010000005.1_199	susD		
JABKKG010000005	PUL4	JABKKG010000005.1_200	JABKKG010000005.1	292647	293126	+	32	JABKKG010000005.1_200			
JABKKG010000005	PUL4	JABKKG010000005.1_201	JABKKG010000005.1	293238	294179	+	112	JABKKG010000005.1_201			
JABKKG010000005	PUL4	JABKKG010000005.1_202	JABKKG010000005.1	294628	297867	+	449	JABKKG010000005.1_202	susC		
JABKKG010000005	PUL4	JABKKG010000005.1_203	JABKKG010000005.1	297892	299922	+	25	JABKKG010000005.1_203	susD		
