genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
NZ_EQ973490	PUL1	NZ_EQ973490.1_14	NZ_EQ973490.1	21574	23952	-	0	NZ_EQ973490.1_14	susC		
NZ_EQ973490	PUL1	NZ_EQ973490.1_15	NZ_EQ973490.1	24202	25578	-	250	NZ_EQ973490.1_15		PL1_2	
NZ_EQ973490	PUL1	NZ_EQ973490.1_16	NZ_EQ973490.1	25584	25724	+	6	NZ_EQ973490.1_16			
NZ_EQ973490	PUL1	NZ_EQ973490.1_17	NZ_EQ973490.1	25718	27715	-	-6	NZ_EQ973490.1_17	susD		
NZ_EQ973490	PUL1	NZ_EQ973490.1_18	NZ_EQ973490.1	27730	30936	-	15	NZ_EQ973490.1_18	susC		
NZ_EQ973490	PUL1	NZ_EQ973490.1_19	NZ_EQ973490.1	31269	32666	-	333	NZ_EQ973490.1_19			
NZ_EQ973490	PUL1	NZ_EQ973490.1_20	NZ_EQ973490.1	32728	34149	-	62	NZ_EQ973490.1_20		GH28	
NZ_EQ973490	PUL1	NZ_EQ973490.1_21	NZ_EQ973490.1	34384	35304	-	235	NZ_EQ973490.1_21			
NZ_EQ973490	PUL1	NZ_EQ973490.1_22	NZ_EQ973490.1	35438	36736	-	134	NZ_EQ973490.1_22		GH105	
NZ_EQ973490	PUL2	NZ_EQ973490.1_52	NZ_EQ973490.1	73587	76823	+	36851	NZ_EQ973490.1_52	susC		
NZ_EQ973490	PUL2	NZ_EQ973490.1_53	NZ_EQ973490.1	76845	78833	+	22	NZ_EQ973490.1_53	susD		
NZ_EQ973490	PUL2	NZ_EQ973490.1_54	NZ_EQ973490.1	78856	80019	+	23	NZ_EQ973490.1_54			
NZ_EQ973490	PUL2	NZ_EQ973490.1_55	NZ_EQ973490.1	80198	84259	+	179	NZ_EQ973490.1_55			
NZ_EQ973490	PUL2	NZ_EQ973490.1_56	NZ_EQ973490.1	84281	85756	+	22	NZ_EQ973490.1_56		GH29	
NZ_EQ973490	PUL2	NZ_EQ973490.1_57	NZ_EQ973490.1	85780	86889	+	24	NZ_EQ973490.1_57		GH105	
