genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
LR131286	PUL1	LR131286.1_1	LR131286.1	3	1853	+	0	LR131286.1_1	susC		
LR131286	PUL1	LR131286.1_2	LR131286.1	1884	3398	+	31	LR131286.1_2	susD		
LR131286	PUL1	LR131286.1_3	LR131286.1	3526	5166	+	128	LR131286.1_3		GH33;CBM93	
LR131286	PUL1	LR131286.1_4	LR131286.1	5197	7176	+	31	LR131286.1_4		GH20	
LR131286	PUL1	LR131286.1_5	LR131286.1	7178	7843	+	2	LR131286.1_5			
LR131286	PUL1	LR131286.1_6	LR131286.1	7840	9909	+	-3	LR131286.1_6		CE20	
LR131286	PUL1	LR131286.1_7	LR131286.1	9983	12562	+	74	LR131286.1_7		GH2_13	
LR131286	PUL1	LR131286.1_8	LR131286.1	12578	14902	+	16	LR131286.1_8		GH20	
LR131286	PUL1	LR131286.1_9	LR131286.1	14919	16058	+	17	LR131286.1_9			
LR131286	PUL1	LR131286.1_10	LR131286.1	16055	18115	+	-3	LR131286.1_10		GH20	
LR131286	PUL1	LR131286.1_11	LR131286.1	18122	20374	+	7	LR131286.1_11		GH92	
LR131286	PUL1	LR131286.1_12	LR131286.1	20614	22887	+	240	LR131286.1_12		GH2_1	
LR131286	PUL1	LR131286.1_13	LR131286.1	23135	24229	+	248	LR131286.1_13		CE9	
