Organism,Scaffold,Start,End,Score,NZ_ABJL02000007_112,NZ_ABJL02000007_113,NZ_ABJL02000007_114,NZ_ABJL02000007_115,NZ_ABJL02000007_116,NZ_ABJL02000007_117,NZ_ABJL02000007_118,NZ_ABJL02000007_119,NZ_ABJL02000007_120,NZ_ABJL02000007_121,NZ_ABJL02000007_122,NZ_ABJL02000007_123,NZ_ABJL02000007_124
CP012801,CP012801.1,3674189,3683610,7.5893,0,0,0,0,0,0,0,0,0,1,1,1,1
CP012801,CP012801.1,3691731,3695070,5.2221,1,1,1,0,0,0,0,0,0,0,0,0,0
EQ973490,EQ973490.1,1329074,1338461,7.5916,0,0,0,0,0,0,0,0,0,1,1,1,1
EQ973490,EQ973490.1,1349078,1352423,5.2225,1,1,1,0,0,0,0,0,0,0,0,0,0
NZ_ABJL02000007,NZ_ABJL02000007.1,167128,189673,23.4348,1,1,1,1,1,0,1,1,1,1,1,1,1
NZ_DS995511,NZ_DS995511.1,704514,707854,5.1982,1,1,1,0,0,0,0,0,0,0,0,0,0
NZ_DS995511,NZ_DS995511.1,716071,724300,4.3626,0,0,0,1,1,0,0,0,0,0,0,1,0
NZ_EQ973490,NZ_EQ973490.1,1329074,1338461,7.5916,0,0,0,0,0,0,0,0,0,1,1,1,1
NZ_EQ973490,NZ_EQ973490.1,1349078,1352417,5.2219,1,1,1,0,0,0,0,0,0,0,0,0,0
NZ_JH992941,NZ_JH992941.1,1220564,1233618,12.7483,1,1,1,0,0,0,0,0,0,1,1,1,1
