Organism,Scaffold,Start,End,Score,LT622246_1565,LT622246_1566,LT622246_1567,LT622246_1568,LT622246_1569
AAXF02000051,AAXF02000051.1,208753,216783,9.5203,1,1,1,1,1
AE015928,AE015928.1,4701146,4709028,6.3408,1,0,1,1,1
FP929033,FP929033.1,3645720,3653683,9.4884,1,1,1,1,1
JH724241,JH724241.1,1618139,1626169,9.5163,1,1,1,1,1
LT622246,LT622246.1,2122989,2131019,9.5203,1,1,1,1,1
NC_004663,NC_004663.1,4701146,4709004,6.3407,1,0,1,1,1
NZ_CP012938,NZ_CP012938.1,4828935,4836965,9.5203,1,1,1,1,1
NZ_CP113514,NZ_CP113514.1,223678,231706,9.5147,1,1,1,1,1
