Organism,Scaffold,Start,End,Score,CP012801_2881,CP012801_2882,CP012801_2883,CP012801_2884,CP012801_2885,CP012801_2886,CP012801_2887,CP012801_2888,CP012801_2889,CP012801_2890
CP012801,CP012801.1,3674189,3695070,20.3343,1,1,1,1,1,1,1,1,1,1
EQ973490,EQ973490.1,1329074,1352423,20.2901,1,1,1,1,1,1,1,1,1,1
NZ_ABJL02000007,NZ_ABJL02000007.1,180431,189673,7.5897,1,1,1,1,0,0,0,0,0,0
NZ_ABJL02000007,NZ_ABJL02000007.1,167128,170469,5.2225,0,0,0,0,0,0,0,1,1,1
NZ_DS995511,NZ_DS995511.1,704514,707854,5.2003,0,0,0,0,0,0,0,1,1,1
NZ_JH992941,NZ_JH992941.1,1220564,1233618,12.7540,1,1,1,1,0,0,0,1,1,1
