Organism,Scaffold,Start,End,Score,NZ_LR027880_1082,NZ_LR027880_1083,NZ_LR027880_1084,NZ_LR027880_1085,NZ_LR027880_1086,NZ_LR027880_1087,NZ_LR027880_1088,NZ_LR027880_1089,NZ_LR027880_1090,NZ_LR027880_1091,NZ_LR027880_1092,NZ_LR027880_1093,NZ_LR027880_1094,NZ_LR027880_1095
CP173697,CP173697.1,3063195,3074547,12.4914,0,0,0,0,0,1,1,1,1,1,1,0,0,1
NC_015977,NC_015977.1,2482003,2500030,13.6592,0,1,1,0,0,0,1,1,1,1,1,0,0,1
NZ_GG692714,NZ_GG692714.1,159050,175880,19.9271,1,1,1,1,0,1,1,1,1,1,1,0,1,0
NZ_LR027880,NZ_LR027880.1,1162412,1181578,25.1634,1,1,1,1,0,1,1,1,1,1,1,1,1,1
