Organism,Scaffold,Start,End,Score,FQ312004_1265,FQ312004_1266,FQ312004_1267,FQ312004_1268,FQ312004_1269,FQ312004_1270,FQ312004_1271
AP006841,AP006841.1,1564047,1574265,13.6475,1,1,1,1,1,1,1
CR626927,CR626927.1,1568050,1578269,13.6470,1,1,1,1,1,1,1
FQ312004,FQ312004.1,1583510,1593729,13.6480,1,1,1,1,1,1,1
NC_003228,NC_003228.3,1568050,1578269,13.6470,1,1,1,1,1,1,1
NC_006347,NC_006347.1,1564047,1574265,13.6475,1,1,1,1,1,1,1
NC_016776,NC_016776.1,1583510,1593729,13.6480,1,1,1,1,1,1,1
