genome	pulid	contigid	start	end	pattern
NZ_JH992941	PUL1	NZ_JH992941.1	95427	129675	GH146-unk-unk-susD-susC-GH127-unk-unk-GH97-GH43_34;CBM32-GH127-unk-unk-unk-susC-susD-GH146
NZ_JH992941	PUL2	NZ_JH992941.1	144774	178566	GH130_1-CE1-unk-GH30_3-GH5-susD-susC-unk-GH26-unk-unk-unk-unk-GH3-GH3-unk-unk-unk-unk-GH10-CBM91;GH43_12-CBM91;GH43_10
NZ_JH992941	PUL3	NZ_JH992941.1	212807	242550	PL1_2-GH2_11-unk-unk-susC-susD-susC-unk-GH105-unk-unk-unk-unk-GH28-GH106-CE20;GH105
NZ_JH992941	PUL4	NZ_JH992941.1	281698	312725	GH30_2-GH43_2-GH95-GH2_17-GH3-GH92-unk-GH43_2-GH43_2-unk-unk-GH38-unk-unk-susD-susC
NZ_JH992941	PUL5	NZ_JH992941.1	368819	381006	susD-susC-unk-unk-susD-susC
NZ_JH992941	PUL6	NZ_JH992941.1	383437	405392	susC-susD-unk-unk-GH171-unk-unk-unk-GT2_Glycos_transf_2-unk-unk-unk-GH171
NZ_JH992941	PUL7	NZ_JH992941.1	433062	455466	susC-susD-GH3-GH144-unk-unk-susC-susD-GH3-unk-GH144-CE15
NZ_JH992941	PUL8	NZ_JH992941.1	496104	542044	GH16_3-GH29-GH2_10-GH20-unk-susD-susC-unk-unk-GH2_6-GH146-GH146-GH50-GH159-CE20-susD-susC-susD-susC
NZ_JH992941	PUL9	NZ_JH992941.1	576207	587086	susC-susD-unk-unk-GH2_10-GH63
NZ_JH992941	PUL10	NZ_JH992941.1	615483	631218	susC-unk-unk-unk-unk-GH97-GH13_48-GH13_48-unk-susD-susC
NZ_JH992941	PUL11	NZ_JH992941.1	693858	728394	susC-susD-PL8_2-GH117-unk-GH2_1-GH43_24-GH28-unk-unk-susC-susD-GH42;GH105-GH106-PL8_2
NZ_JH992941	PUL12	NZ_JH992941.1	741058	754449	GH30_3-unk-susC-susD-CBM57;GH2_2-GH88;PL38
NZ_JH992941	PUL13	NZ_JH992941.1	771765	795108	GH3-GH5_46-GH30_3-unk-unk-unk-GH115-susD-susC-unk-GH51_4
NZ_JH992941	PUL14	NZ_JH992941.1	824127	839263	GH43_31-unk-unk-unk-unk-GH43_27-unk-susD-susC
NZ_JH992941	PUL15	NZ_JH992941.1	843787	893638	CE20-unk-unk-GH182-GH43_3-GH43_3-susD-susC-unk-GH31_15-unk-GH115-GH105-GH130_3-unk-GH2_17-GH105-unk-GH43_31-unk-GH105-unk-GH182-GH43_3-unk-susD-susC
NZ_JH992941	PUL16	NZ_JH992941.1	911744	926298	susC-susD-GH2_10-unk-GH115-GH2_11
NZ_JH992941	PUL17	NZ_JH992941.1	951909	956500	susC-susD
NZ_JH992941	PUL18	NZ_JH992941.1	962834	997223	GH76-GH125-GH97-GH76-unk-GH38-unk-GH146-unk-unk-GH30_2-unk-unk-susC-susD-unk-GH30_4
NZ_JH992941	PUL19	NZ_JH992941.1	1057030	1066315	GH183-GH97-susD-susC-GH172
NZ_JH992941	PUL20	NZ_JH992941.1	1076194	1100911	GH172-susC-susD-unk-GH116;CBM38-GH172-susC-susD-unk-GH172-GH183-GH38
NZ_JH992941	PUL21	NZ_JH992941.1	1125881	1130588	susC-susD
NZ_JH992941	PUL22	NZ_JH992941.1	1206888	1211583	susC-susD
NZ_JH992941	PUL23	NZ_JH992941.1	1215941	1238669	susC-unk-unk-unk-CBM6;GH43_2-GH3-GH43_17-unk-GH43_7-unk-CE1-susD-susC
NZ_JH992941	PUL24	NZ_JH992941.1	1301820	1341814	GH42-unk-CBM13-GH2_1-susC-susD-unk-GH51_2-unk-unk-unk-susC-susD-GH78;CBM67-unk-GH106-GH78;CBM67
NZ_JH992941	PUL25	NZ_JH992941.1	1346363	1351209	susD-susC
NZ_JH992941	PUL26	NZ_JH992941.1	1380025	1427534	susC-unk-unk-unk-susD-susC-CBM91;GH43_10-GH43_34-GH97-GH106-unk-unk-GH29-unk-unk-susC-susD-unk-CBM91;GH43_10-GH43_26;GH2_19-GH115-GH146-unk-GH146
NZ_JH992941	PUL27	NZ_JH992941.1	1435357	1458491	GH51_1-GH5_13-GH182-susC-susD-unk-GH182-unk-CE1-GH43_26-GH43_18-GH8-GH3
NZ_JH992941	PUL28	NZ_JH992941.1	1465291	1482945	GH2_10-susC-susD-GH28;GH43_24-unk-GH2_13
NZ_JH992941	PUL29	NZ_JH992941.1	1493708	1510284	GH2-CE6;CE20-CBM96-susC-susD-unk-GH50
NZ_JH992941	PUL30	NZ_JH992941.1	1510807	1535688	GH154;GH88-unk-GH43_28;CBM32-unk-unk-GH2_10-GH28-unk-GH28-GH92-GH92-susD-susC
NZ_JH992941	PUL31	NZ_JH992941.1	1569107	1584188	GH89-unk-GH92-GH28-unk-unk-unk-susD-susC
