genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
JPOL01000002	PUL1	JPOL01000002.1_45	JPOL01000002.1	55841	57838	-	0	JPOL01000002.1_45		GH51_2	
JPOL01000002	PUL1	JPOL01000002.1_46	JPOL01000002.1	57861	60230	-	23	JPOL01000002.1_46		GH146	
JPOL01000002	PUL1	JPOL01000002.1_47	JPOL01000002.1	60232	61230	-	2	JPOL01000002.1_47		GH43_5	
JPOL01000002	PUL1	JPOL01000002.1_48	JPOL01000002.1	61234	62250	-	4	JPOL01000002.1_48		GH43_29	
JPOL01000002	PUL1	JPOL01000002.1_49	JPOL01000002.1	62311	63867	-	61	JPOL01000002.1_49		GH51_1	
JPOL01000002	PUL1	JPOL01000002.1_50	JPOL01000002.1	63987	65552	-	120	JPOL01000002.1_50	susD		
JPOL01000002	PUL1	JPOL01000002.1_51	JPOL01000002.1	65563	68655	-	11	JPOL01000002.1_51	susC		
JPOL01000002	PUL2	JPOL01000002.1_223	JPOL01000002.1	289434	292397	+	220779	JPOL01000002.1_223	susC		
JPOL01000002	PUL2	JPOL01000002.1_224	JPOL01000002.1	292408	294048	+	11	JPOL01000002.1_224	susD		
JPOL01000002	PUL2	JPOL01000002.1_225	JPOL01000002.1	294062	295195	+	14	JPOL01000002.1_225		GH33	
JPOL01000002	PUL2	JPOL01000002.1_226	JPOL01000002.1	295243	296175	+	48	JPOL01000002.1_226			
JPOL01000002	PUL2	JPOL01000002.1_227	JPOL01000002.1	296211	297710	+	36	JPOL01000002.1_227			
JPOL01000002	PUL2	JPOL01000002.1_228	JPOL01000002.1	297769	299541	+	59	JPOL01000002.1_228			
JPOL01000002	PUL2	JPOL01000002.1_229	JPOL01000002.1	299592	301559	+	51	JPOL01000002.1_229		GH84	
JPOL01000002	PUL3	JPOL01000002.1_344	JPOL01000002.1	431850	433637	-	130291	JPOL01000002.1_344	susD		
JPOL01000002	PUL3	JPOL01000002.1_345	JPOL01000002.1	433658	436909	-	21	JPOL01000002.1_345	susC		
JPOL01000002	PUL3	JPOL01000002.1_346	JPOL01000002.1	437177	438421	-	268	JPOL01000002.1_346			
JPOL01000002	PUL3	JPOL01000002.1_347	JPOL01000002.1	438889	440052	-	468	JPOL01000002.1_347		GH130_3	
JPOL01000002	PUL3	JPOL01000002.1_348	JPOL01000002.1	440441	443758	-	389	JPOL01000002.1_348		GH13_16	
JPOL01000002	PUL4	JPOL01000002.1_378	JPOL01000002.1	485437	486903	-	41679	JPOL01000002.1_378	susD		
JPOL01000002	PUL4	JPOL01000002.1_379	JPOL01000002.1	486916	489939	-	13	JPOL01000002.1_379	susC		
JPOL01000002	PUL4	JPOL01000002.1_380	JPOL01000002.1	490255	491748	-	316	JPOL01000002.1_380			
JPOL01000002	PUL4	JPOL01000002.1_381	JPOL01000002.1	491960	493021	+	212	JPOL01000002.1_381			
JPOL01000002	PUL4	JPOL01000002.1_382	JPOL01000002.1	493246	495420	+	225	JPOL01000002.1_382		GH67	
JPOL01000002	PUL4	JPOL01000002.1_383	JPOL01000002.1	495499	496623	+	79	JPOL01000002.1_383		GH10	
JPOL01000002	PUL4	JPOL01000002.1_384	JPOL01000002.1	496628	499474	+	5	JPOL01000002.1_384		GH115	
JPOL01000002	PUL4	JPOL01000002.1_385	JPOL01000002.1	499840	502035	-	366	JPOL01000002.1_385		GH10	
JPOL01000002	PUL4	JPOL01000002.1_386	JPOL01000002.1	502100	503461	-	65	JPOL01000002.1_386			
JPOL01000002	PUL4	JPOL01000002.1_387	JPOL01000002.1	503503	505134	-	42	JPOL01000002.1_387	susD		
JPOL01000002	PUL4	JPOL01000002.1_388	JPOL01000002.1	505145	508312	-	11	JPOL01000002.1_388	susC		
JPOL01000002	PUL5	JPOL01000002.1_389	JPOL01000002.1	508923	511298	-	611	JPOL01000002.1_389		CBM9;CE15	
JPOL01000002	PUL5	JPOL01000002.1_390	JPOL01000002.1	511564	513516	-	266	JPOL01000002.1_390	susD		
JPOL01000002	PUL5	JPOL01000002.1_391	JPOL01000002.1	513527	516598	-	11	JPOL01000002.1_391	susC		
JPOL01000002	PUL6	JPOL01000002.1_723	JPOL01000002.1	877661	878800	-	361063	JPOL01000002.1_723		GH10	
JPOL01000002	PUL6	JPOL01000002.1_724	JPOL01000002.1	878998	880686	-	198	JPOL01000002.1_724		GH10	
JPOL01000002	PUL6	JPOL01000002.1_725	JPOL01000002.1	880722	881756	-	36	JPOL01000002.1_725			
JPOL01000002	PUL6	JPOL01000002.1_726	JPOL01000002.1	881799	883550	-	43	JPOL01000002.1_726	susD		
JPOL01000002	PUL6	JPOL01000002.1_727	JPOL01000002.1	883569	886622	-	19	JPOL01000002.1_727			
JPOL01000002	PUL6	JPOL01000002.1_728	JPOL01000002.1	886685	888577	-	63	JPOL01000002.1_728	susD		
JPOL01000002	PUL6	JPOL01000002.1_729	JPOL01000002.1	888589	891783	-	12	JPOL01000002.1_729	susC		
JPOL01000002	PUL7	JPOL01000002.1_873	JPOL01000002.1	1061269	1062636	-	169486	JPOL01000002.1_873	susD		
JPOL01000002	PUL7	JPOL01000002.1_874	JPOL01000002.1	1062643	1065705	-	7	JPOL01000002.1_874	susC		
JPOL01000002	PUL7	JPOL01000002.1_875	JPOL01000002.1	1066000	1067505	-	295	JPOL01000002.1_875	susD		
JPOL01000002	PUL7	JPOL01000002.1_876	JPOL01000002.1	1067520	1070795	-	15	JPOL01000002.1_876	susC		
JPOL01000002	PUL8	JPOL01000002.1_951	JPOL01000002.1	1150808	1151278	-	80013	JPOL01000002.1_951		GH28	
JPOL01000002	PUL8	JPOL01000002.1_952	JPOL01000002.1	1151296	1152174	-	18	JPOL01000002.1_952		GH28	
JPOL01000002	PUL8	JPOL01000002.1_953	JPOL01000002.1	1152164	1152508	-	-10	JPOL01000002.1_953		AA18	
JPOL01000002	PUL8	JPOL01000002.1_954	JPOL01000002.1	1152557	1153660	-	49	JPOL01000002.1_954		PL10_1	
JPOL01000002	PUL8	JPOL01000002.1_955	JPOL01000002.1	1153668	1154435	-	8	JPOL01000002.1_955		CE12	
JPOL01000002	PUL8	JPOL01000002.1_956	JPOL01000002.1	1154441	1155421	-	6	JPOL01000002.1_956		CE8	
JPOL01000002	PUL8	JPOL01000002.1_957	JPOL01000002.1	1155426	1156394	-	5	JPOL01000002.1_957			
JPOL01000002	PUL8	JPOL01000002.1_958	JPOL01000002.1	1156394	1157236	-	0	JPOL01000002.1_958		CE12	
JPOL01000002	PUL8	JPOL01000002.1_959	JPOL01000002.1	1157243	1158868	-	7	JPOL01000002.1_959		CBM91;GH43_10	
JPOL01000002	PUL8	JPOL01000002.1_960	JPOL01000002.1	1158877	1160136	-	9	JPOL01000002.1_960		GH105	
JPOL01000002	PUL8	JPOL01000002.1_961	JPOL01000002.1	1160138	1161154	-	2	JPOL01000002.1_961			
JPOL01000002	PUL8	JPOL01000002.1_962	JPOL01000002.1	1161268	1162710	-	114	JPOL01000002.1_962		GH28	
JPOL01000002	PUL8	JPOL01000002.1_963	JPOL01000002.1	1163018	1164358	-	308	JPOL01000002.1_963		PL1_2	
JPOL01000002	PUL8	JPOL01000002.1_964	JPOL01000002.1	1164528	1166378	-	170	JPOL01000002.1_964		PL9_1	
JPOL01000002	PUL8	JPOL01000002.1_965	JPOL01000002.1	1166375	1171051	-	-3	JPOL01000002.1_965		CE8	
JPOL01000002	PUL8	JPOL01000002.1_966	JPOL01000002.1	1171380	1172933	-	329	JPOL01000002.1_966			
JPOL01000002	PUL8	JPOL01000002.1_967	JPOL01000002.1	1172964	1174754	-	31	JPOL01000002.1_967	susD		
JPOL01000002	PUL8	JPOL01000002.1_968	JPOL01000002.1	1174764	1177988	-	10	JPOL01000002.1_968	susC		
JPOL01000002	PUL9	JPOL01000002.1_986	JPOL01000002.1	1198755	1200095	-	20767	JPOL01000002.1_986		GH177	
JPOL01000002	PUL9	JPOL01000002.1_987	JPOL01000002.1	1200100	1201482	-	5	JPOL01000002.1_987			
JPOL01000002	PUL9	JPOL01000002.1_988	JPOL01000002.1	1201741	1203345	-	259	JPOL01000002.1_988	susD		
JPOL01000002	PUL9	JPOL01000002.1_989	JPOL01000002.1	1203358	1206435	-	13	JPOL01000002.1_989	susC		
JPOL01000002	PUL10	JPOL01000002.1_1027	JPOL01000002.1	1232971	1236186	+	26536	JPOL01000002.1_1027	susC		
JPOL01000002	PUL10	JPOL01000002.1_1028	JPOL01000002.1	1236199	1237653	+	13	JPOL01000002.1_1028	susD		
JPOL01000002	PUL10	JPOL01000002.1_1029	JPOL01000002.1	1237864	1238088	+	211	JPOL01000002.1_1029			
JPOL01000002	PUL10	JPOL01000002.1_1030	JPOL01000002.1	1238432	1239859	-	344	JPOL01000002.1_1030			
JPOL01000002	PUL10	JPOL01000002.1_1031	JPOL01000002.1	1240156	1243377	+	297	JPOL01000002.1_1031	susC		
JPOL01000002	PUL10	JPOL01000002.1_1032	JPOL01000002.1	1243392	1245047	+	15	JPOL01000002.1_1032	susD		
JPOL01000002	PUL10	JPOL01000002.1_1033	JPOL01000002.1	1245059	1245964	+	12	JPOL01000002.1_1033			
JPOL01000002	PUL10	JPOL01000002.1_1034	JPOL01000002.1	1246079	1246813	+	115	JPOL01000002.1_1034			
JPOL01000002	PUL10	JPOL01000002.1_1035	JPOL01000002.1	1247171	1250440	+	358	JPOL01000002.1_1035	susC		
JPOL01000002	PUL10	JPOL01000002.1_1036	JPOL01000002.1	1250451	1251896	+	11	JPOL01000002.1_1036	susD		
JPOL01000002	PUL10	JPOL01000002.1_1037	JPOL01000002.1	1252100	1252924	+	204	JPOL01000002.1_1037			
JPOL01000002	PUL10	JPOL01000002.1_1038	JPOL01000002.1	1252933	1255686	+	9	JPOL01000002.1_1038	susC		
JPOL01000002	PUL11	JPOL01000002.1_1213	JPOL01000002.1	1440893	1442680	-	185207	JPOL01000002.1_1213	susD		
JPOL01000002	PUL11	JPOL01000002.1_1214	JPOL01000002.1	1442715	1446014	-	35	JPOL01000002.1_1214	susC		
JPOL01000002	PUL12	JPOL01000002.1_1217	JPOL01000002.1	1449811	1452219	-	3797	JPOL01000002.1_1217	susC		
JPOL01000002	PUL12	JPOL01000002.1_1218	JPOL01000002.1	1452343	1452717	-	124	JPOL01000002.1_1218			
JPOL01000002	PUL12	JPOL01000002.1_1219	JPOL01000002.1	1453097	1453627	+	380	JPOL01000002.1_1219			
JPOL01000002	PUL12	JPOL01000002.1_1220	JPOL01000002.1	1453725	1456934	+	98	JPOL01000002.1_1220	susC		
JPOL01000002	PUL12	JPOL01000002.1_1221	JPOL01000002.1	1456945	1458396	+	11	JPOL01000002.1_1221	susD		
JPOL01000002	PUL13	JPOL01000002.1_1258	JPOL01000002.1	1498719	1500065	+	40323	JPOL01000002.1_1258		GH177	
JPOL01000002	PUL13	JPOL01000002.1_1259	JPOL01000002.1	1500129	1503506	-	64	JPOL01000002.1_1259			
JPOL01000002	PUL13	JPOL01000002.1_1260	JPOL01000002.1	1503709	1505580	-	203	JPOL01000002.1_1260	susD		
JPOL01000002	PUL13	JPOL01000002.1_1261	JPOL01000002.1	1505584	1508763	-	4	JPOL01000002.1_1261	susC		
JPOL01000002	PUL14	JPOL01000002.1_1368	JPOL01000002.1	1632050	1634320	-	123287	JPOL01000002.1_1368		GH3	
JPOL01000002	PUL14	JPOL01000002.1_1369	JPOL01000002.1	1634320	1635132	-	0	JPOL01000002.1_1369		CE1	
JPOL01000002	PUL14	JPOL01000002.1_1370	JPOL01000002.1	1635185	1636624	-	53	JPOL01000002.1_1370		GH144	
JPOL01000002	PUL14	JPOL01000002.1_1371	JPOL01000002.1	1636572	1637915	-	-52	JPOL01000002.1_1371		GH144	
JPOL01000002	PUL14	JPOL01000002.1_1372	JPOL01000002.1	1637945	1639366	-	30	JPOL01000002.1_1372	susD		
JPOL01000002	PUL14	JPOL01000002.1_1373	JPOL01000002.1	1639384	1642503	-	18	JPOL01000002.1_1373	susC		
JPOL01000002	PUL15	JPOL01000002.1_1499	JPOL01000002.1	1796425	1799385	+	153922	JPOL01000002.1_1499	susC		
JPOL01000002	PUL15	JPOL01000002.1_1500	JPOL01000002.1	1799396	1801096	+	11	JPOL01000002.1_1500	susD		
JPOL01000002	PUL15	JPOL01000002.1_1501	JPOL01000002.1	1801131	1801922	+	35	JPOL01000002.1_1501			
JPOL01000002	PUL15	JPOL01000002.1_1502	JPOL01000002.1	1801929	1803002	+	7	JPOL01000002.1_1502		GH43_26	
JPOL01000002	PUL15	JPOL01000002.1_1503	JPOL01000002.1	1803007	1804068	+	5	JPOL01000002.1_1503		GH5_13	
JPOL01000002	PUL16	JPOL01000002.1_1543	JPOL01000002.1	1845207	1848323	+	41139	JPOL01000002.1_1543	susC		
JPOL01000002	PUL16	JPOL01000002.1_1544	JPOL01000002.1	1848333	1849847	+	10	JPOL01000002.1_1544	susD		
JPOL01000002	PUL16	JPOL01000002.1_1545	JPOL01000002.1	1849866	1850732	+	19	JPOL01000002.1_1545			
JPOL01000002	PUL16	JPOL01000002.1_1546	JPOL01000002.1	1850926	1852359	+	194	JPOL01000002.1_1546		GH30_3	
JPOL01000002	PUL16	JPOL01000002.1_1547	JPOL01000002.1	1852379	1854118	+	20	JPOL01000002.1_1547		GH5_46	
JPOL01000002	PUL16	JPOL01000002.1_1548	JPOL01000002.1	1854121	1855527	+	3	JPOL01000002.1_1548		GH30_3	
JPOL01000002	PUL17	JPOL01000002.1_2190	JPOL01000002.1	2575497	2577755	+	719970	JPOL01000002.1_2190		GH92	
JPOL01000002	PUL17	JPOL01000002.1_2191	JPOL01000002.1	2577950	2581063	+	195	JPOL01000002.1_2191	susC		
JPOL01000002	PUL17	JPOL01000002.1_2192	JPOL01000002.1	2581075	2582619	+	12	JPOL01000002.1_2192	susD		
JPOL01000002	PUL17	JPOL01000002.1_2193	JPOL01000002.1	2582785	2585190	+	166	JPOL01000002.1_2193		GH3	
JPOL01000002	PUL17	JPOL01000002.1_2194	JPOL01000002.1	2585177	2586643	+	-13	JPOL01000002.1_2194		GH29	
JPOL01000002	PUL17	JPOL01000002.1_2195	JPOL01000002.1	2586665	2588122	+	22	JPOL01000002.1_2195		GH29	
JPOL01000002	PUL17	JPOL01000002.1_2196	JPOL01000002.1	2588195	2589208	+	73	JPOL01000002.1_2196			
JPOL01000002	PUL17	JPOL01000002.1_2197	JPOL01000002.1	2589670	2591094	+	462	JPOL01000002.1_2197			
JPOL01000002	PUL17	JPOL01000002.1_2198	JPOL01000002.1	2591454	2592353	-	360	JPOL01000002.1_2198			
JPOL01000002	PUL17	JPOL01000002.1_2199	JPOL01000002.1	2592409	2593746	-	56	JPOL01000002.1_2199			
JPOL01000002	PUL17	JPOL01000002.1_2200	JPOL01000002.1	2593765	2595336	-	19	JPOL01000002.1_2200		GH32	
JPOL01000002	PUL17	JPOL01000002.1_2201	JPOL01000002.1	2595477	2596520	+	141	JPOL01000002.1_2201			
JPOL01000002	PUL17	JPOL01000002.1_2202	JPOL01000002.1	2596530	2597186	+	10	JPOL01000002.1_2202			
JPOL01000002	PUL17	JPOL01000002.1_2203	JPOL01000002.1	2597190	2599496	+	4	JPOL01000002.1_2203		GH65	
JPOL01000002	PUL18	JPOL01000002.1_2209	JPOL01000002.1	2611823	2613472	-	12327	JPOL01000002.1_2209	susD		
JPOL01000002	PUL18	JPOL01000002.1_2210	JPOL01000002.1	2613459	2616593	-	-13	JPOL01000002.1_2210	susC		
JPOL01000002	PUL19	JPOL01000002.1_2492	JPOL01000002.1	2951658	2955161	+	335065	JPOL01000002.1_2492	susC		
JPOL01000002	PUL19	JPOL01000002.1_2493	JPOL01000002.1	2955174	2956610	+	13	JPOL01000002.1_2493	susD		
JPOL01000002	PUL20	JPOL01000002.1_2499	JPOL01000002.1	2966266	2969388	+	9656	JPOL01000002.1_2499	susC		
JPOL01000002	PUL20	JPOL01000002.1_2500	JPOL01000002.1	2969402	2970991	+	14	JPOL01000002.1_2500	susD		
JPOL01000002	PUL20	JPOL01000002.1_2501	JPOL01000002.1	2971020	2971871	+	29	JPOL01000002.1_2501			
JPOL01000002	PUL20	JPOL01000002.1_2502	JPOL01000002.1	2971942	2974422	+	71	JPOL01000002.1_2502		GH2_1	
JPOL01000002	PUL20	JPOL01000002.1_2503	JPOL01000002.1	2974434	2976863	+	12	JPOL01000002.1_2503		GH31_3	
JPOL01000002	PUL20	JPOL01000002.1_2504	JPOL01000002.1	2976913	2978463	+	50	JPOL01000002.1_2504		GH29	
JPOL01000002	PUL20	JPOL01000002.1_2505	JPOL01000002.1	2978522	2979937	+	59	JPOL01000002.1_2505		GH5_4	
JPOL01000002	PUL21	JPOL01000002.1_2718	JPOL01000002.1	3222509	3223702	-	242572	JPOL01000002.1_2718		GH130_1	
JPOL01000002	PUL21	JPOL01000002.1_2719	JPOL01000002.1	3223714	3225549	-	12	JPOL01000002.1_2719			
JPOL01000002	PUL21	JPOL01000002.1_2720	JPOL01000002.1	3225550	3226692	-	1	JPOL01000002.1_2720		GH26	
JPOL01000002	PUL21	JPOL01000002.1_2721	JPOL01000002.1	3226838	3227743	+	146	JPOL01000002.1_2721			
JPOL01000002	PUL21	JPOL01000002.1_2722	JPOL01000002.1	3227938	3231177	+	195	JPOL01000002.1_2722	susC		
JPOL01000002	PUL21	JPOL01000002.1_2723	JPOL01000002.1	3231188	3232762	+	11	JPOL01000002.1_2723	susD		
JPOL01000002	PUL21	JPOL01000002.1_2724	JPOL01000002.1	3232795	3233838	+	33	JPOL01000002.1_2724			
JPOL01000002	PUL21	JPOL01000002.1_2725	JPOL01000002.1	3233912	3235120	+	74	JPOL01000002.1_2725		GH27	
JPOL01000002	PUL21	JPOL01000002.1_2726	JPOL01000002.1	3235207	3236691	+	87	JPOL01000002.1_2726			
JPOL01000002	PUL21	JPOL01000002.1_2727	JPOL01000002.1	3236800	3238218	-	109	JPOL01000002.1_2727		CE20	
JPOL01000002	PUL21	JPOL01000002.1_2728	JPOL01000002.1	3238263	3239357	-	45	JPOL01000002.1_2728		CE2	
JPOL01000002	PUL21	JPOL01000002.1_2729	JPOL01000002.1	3239558	3241531	-	201	JPOL01000002.1_2729			
JPOL01000002	PUL21	JPOL01000002.1_2730	JPOL01000002.1	3241506	3242498	-	-25	JPOL01000002.1_2730		GH26	
JPOL01000002	PUL21	JPOL01000002.1_2731	JPOL01000002.1	3242512	3244998	-	14	JPOL01000002.1_2731		GH9	
JPOL01000002	PUL21	JPOL01000002.1_2732	JPOL01000002.1	3245141	3246490	+	143	JPOL01000002.1_2732			
JPOL01000002	PUL21	JPOL01000002.1_2733	JPOL01000002.1	3246739	3249855	+	249	JPOL01000002.1_2733	susC		
JPOL01000002	PUL21	JPOL01000002.1_2734	JPOL01000002.1	3249867	3251414	+	12	JPOL01000002.1_2734	susD		
JPOL01000002	PUL21	JPOL01000002.1_2735	JPOL01000002.1	3251700	3255116	+	286	JPOL01000002.1_2735		CBM35;CBM32;GH5_10	
JPOL01000002	PUL22	JPOL01000002.1_2757	JPOL01000002.1	3279905	3283399	+	24789	JPOL01000002.1_2757	susC		
JPOL01000002	PUL22	JPOL01000002.1_2758	JPOL01000002.1	3283410	3284942	+	11	JPOL01000002.1_2758	susD		
