Organism,Scaffold,Start,End,Score,NC_014934_417,NC_014934_418,NC_014934_419,NC_014934_420,NC_014934_421,NC_014934_422,NC_014934_423,NC_014934_424,NC_014934_425,NC_014934_426,NC_014934_427,NC_014934_428,NC_014934_429,NC_014934_430,NC_014934_431,NC_014934_432,NC_014934_433
CP002534,CP002534.1,2006004,2016216,6.3695,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
CP002534,CP002534.1,2023153,2026835,5.2004,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP476056,FP476056.1,3635859,3654987,9.5370,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0
NC_014934,NC_014934.1,476401,500825,34.5438,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NC_015167,NC_015167.1,2006004,2016216,6.3695,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
NC_015167,NC_015167.1,2023153,2026835,5.2004,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CP009976,NZ_CP009976.1,4525247,4545890,20.9100,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1
