Organism,Scaffold,Start,End,Score,LT622246_3171,LT622246_3172,LT622246_3173,LT622246_3174,LT622246_3175,LT622246_3176,LT622246_3177,LT622246_3178,LT622246_3179,LT622246_3180,LT622246_3181,LT622246_3182
ABJL02000008,ABJL02000008.1,662317,673508,13.4889,0,1,1,1,1,1,1,1,0,0,0,0
AE015928,AE015928.1,1516363,1528605,17.6396,0,1,1,1,1,1,1,1,1,1,0,0
AP006841,AP006841.1,2144650,2149917,7.2652,0,1,1,1,1,0,0,0,0,0,0,0
AP006841,AP006841.1,2178830,2183128,5.2406,0,0,0,0,0,1,1,1,0,0,0,0
CP012801,CP012801.1,677181,685658,11.4661,0,0,1,1,1,1,1,1,0,0,0,0
CP129143,CP129143.1,3061771,3071725,8.4062,0,0,1,1,1,0,1,1,0,0,0,0
CR626927,CR626927.1,2202335,2207602,7.2647,0,1,1,1,1,0,0,0,0,0,0,0
CR626927,CR626927.1,2236519,2240817,5.2405,0,0,0,0,0,1,1,1,0,0,0,0
FP929033,FP929033.1,1008420,1021889,15.5744,1,1,1,1,0,1,1,1,1,0,1,0
FQ312004,FQ312004.1,2194157,2199423,7.2654,0,1,1,1,1,0,0,0,0,0,0,0
FQ312004,FQ312004.1,2227519,2231817,5.2405,0,0,0,0,0,1,1,1,0,0,0,0
LT622246,LT622246.1,4223149,4235236,21.7342,1,1,1,1,1,1,1,1,1,1,1,0
NC_003228,NC_003228.3,2202335,2207602,7.2647,0,1,1,1,1,0,0,0,0,0,0,0
NC_003228,NC_003228.3,2236519,2240817,5.2405,0,0,0,0,0,1,1,1,0,0,0,0
NC_004663,NC_004663.1,1516363,1528605,17.6412,0,1,1,1,1,1,1,1,1,1,0,0
NC_006347,NC_006347.1,2144650,2149917,7.2652,0,1,1,1,1,0,0,0,0,0,0,0
NC_006347,NC_006347.1,2178830,2183128,5.2406,0,0,0,0,0,1,1,1,0,0,0,0
NC_016776,NC_016776.1,2194157,2199423,7.2654,0,1,1,1,1,0,0,0,0,0,0,0
NC_016776,NC_016776.1,2227519,2231817,5.2405,0,0,0,0,0,1,1,1,0,0,0,0
NZ_ABJL02000008,NZ_ABJL02000008.1,662317,673508,13.4889,0,1,1,1,1,1,1,1,0,0,0,0
NZ_CP012938,NZ_CP012938.1,456197,468931,23.7600,1,1,1,1,1,1,1,1,1,1,1,1
NZ_CP113514,NZ_CP113514.1,2407346,2418935,19.6958,0,1,1,1,1,1,1,1,1,1,1,0
