Organism,Scaffold,Start,End,Score,NZ_JQNQ01000001_1602,NZ_JQNQ01000001_1603,NZ_JQNQ01000001_1604,NZ_JQNQ01000001_1605,NZ_JQNQ01000001_1606,NZ_JQNQ01000001_1607,NZ_JQNQ01000001_1608,NZ_JQNQ01000001_1609,NZ_JQNQ01000001_1610,NZ_JQNQ01000001_1611,NZ_JQNQ01000001_1612,NZ_JQNQ01000001_1613,NZ_JQNQ01000001_1614,NZ_JQNQ01000001_1615,NZ_JQNQ01000001_1616,NZ_JQNQ01000001_1617,NZ_JQNQ01000001_1618,NZ_JQNQ01000001_1619,NZ_JQNQ01000001_1620,NZ_JQNQ01000001_1621,NZ_JQNQ01000001_1622,NZ_JQNQ01000001_1623,NZ_JQNQ01000001_1624,NZ_JQNQ01000001_1625,NZ_JQNQ01000001_1626,NZ_JQNQ01000001_1627,NZ_JQNQ01000001_1628,NZ_JQNQ01000001_1629,NZ_JQNQ01000001_1630,NZ_JQNQ01000001_1631,NZ_JQNQ01000001_1632,NZ_JQNQ01000001_1633,NZ_JQNQ01000001_1634,NZ_JQNQ01000001_1635,NZ_JQNQ01000001_1636,NZ_JQNQ01000001_1637,NZ_JQNQ01000001_1638,NZ_JQNQ01000001_1639,NZ_JQNQ01000001_1640,NZ_JQNQ01000001_1641,NZ_JQNQ01000001_1642,NZ_JQNQ01000001_1643,NZ_JQNQ01000001_1644,NZ_JQNQ01000001_1645,NZ_JQNQ01000001_1646,NZ_JQNQ01000001_1647
CP016359,CP016359.1,321647,341858,7.6604,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP016359,CP016359.1,353616,362606,4.3419,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_JQNQ01000001,NZ_JQNQ01000001.1,1815118,1877725,91.8623,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
