Organism,Scaffold,Start,End,Score,AE005672_2106,AE005672_2107,AE005672_2108,AE005672_2109,AE005672_2110,AE005672_2111,AE005672_2112,AE005672_2113,AE005672_2114,AE005672_2115,AE005672_2116
AE005672,AE005672.3,2072291,2085657,21.8587,1,1,1,1,1,1,1,1,1,1,1
AE007317,AE007317.1,1951629,1964969,21.8550,1,1,1,1,1,1,1,1,1,1,1
CP000410,CP000410.2,1959132,1972472,21.8549,1,1,1,1,1,1,1,1,1,1,1
NC_003098,NC_003098.1,1951629,1964969,21.8550,1,1,1,1,1,1,1,1,1,1,1
