genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
NZ_VISB01000001	PUL1	NZ_VISB01000001.1_180	NZ_VISB01000001.1	223183	225117	-	0	NZ_VISB01000001.1_180		CE20	
NZ_VISB01000001	PUL1	NZ_VISB01000001.1_181	NZ_VISB01000001.1	225130	226170	-	13	NZ_VISB01000001.1_181		GH43_1	
NZ_VISB01000001	PUL1	NZ_VISB01000001.1_182	NZ_VISB01000001.1	226174	227625	-	4	NZ_VISB01000001.1_182			
NZ_VISB01000001	PUL1	NZ_VISB01000001.1_183	NZ_VISB01000001.1	227650	228801	-	25	NZ_VISB01000001.1_183		GH10	
NZ_VISB01000001	PUL1	NZ_VISB01000001.1_184	NZ_VISB01000001.1	229010	233179	-	209	NZ_VISB01000001.1_184			
NZ_VISB01000001	PUL1	NZ_VISB01000001.1_185	NZ_VISB01000001.1	233209	235380	-	30	NZ_VISB01000001.1_185		GH67	
NZ_VISB01000001	PUL1	NZ_VISB01000001.1_186	NZ_VISB01000001.1	235591	238899	-	211	NZ_VISB01000001.1_186			
NZ_VISB01000001	PUL1	NZ_VISB01000001.1_187	NZ_VISB01000001.1	239009	240493	-	110	NZ_VISB01000001.1_187	susD		
NZ_VISB01000001	PUL1	NZ_VISB01000001.1_188	NZ_VISB01000001.1	240514	243510	-	21	NZ_VISB01000001.1_188	susC		
NZ_VISB01000001	PUL2	NZ_VISB01000001.1_274	NZ_VISB01000001.1	354169	356439	-	110659	NZ_VISB01000001.1_274		GH3	
NZ_VISB01000001	PUL2	NZ_VISB01000001.1_275	NZ_VISB01000001.1	356462	357256	-	23	NZ_VISB01000001.1_275		CE1	
NZ_VISB01000001	PUL2	NZ_VISB01000001.1_276	NZ_VISB01000001.1	357246	358676	-	-10	NZ_VISB01000001.1_276		GH144	
NZ_VISB01000001	PUL2	NZ_VISB01000001.1_277	NZ_VISB01000001.1	358673	360031	-	-3	NZ_VISB01000001.1_277		GH144	
NZ_VISB01000001	PUL2	NZ_VISB01000001.1_278	NZ_VISB01000001.1	360072	360803	-	41	NZ_VISB01000001.1_278			
NZ_VISB01000001	PUL2	NZ_VISB01000001.1_279	NZ_VISB01000001.1	360810	361871	-	7	NZ_VISB01000001.1_279			
NZ_VISB01000001	PUL2	NZ_VISB01000001.1_280	NZ_VISB01000001.1	361883	363430	-	12	NZ_VISB01000001.1_280	susD		
NZ_VISB01000001	PUL2	NZ_VISB01000001.1_281	NZ_VISB01000001.1	363441	366479	-	11	NZ_VISB01000001.1_281	susC		
NZ_VISB01000001	PUL3	NZ_VISB01000001.1_760	NZ_VISB01000001.1	850561	852096	-	484082	NZ_VISB01000001.1_760		GH28	
NZ_VISB01000001	PUL3	NZ_VISB01000001.1_761	NZ_VISB01000001.1	852103	854412	-	7	NZ_VISB01000001.1_761		GH92	
NZ_VISB01000001	PUL3	NZ_VISB01000001.1_762	NZ_VISB01000001.1	854467	856257	-	55	NZ_VISB01000001.1_762			
NZ_VISB01000001	PUL3	NZ_VISB01000001.1_763	NZ_VISB01000001.1	856467	858128	-	210	NZ_VISB01000001.1_763	susD		
NZ_VISB01000001	PUL3	NZ_VISB01000001.1_764	NZ_VISB01000001.1	858146	861214	-	18	NZ_VISB01000001.1_764	susC		
NZ_VISB01000001	PUL4	NZ_VISB01000001.1_1004	NZ_VISB01000001.1	1129212	1130705	-	267998	NZ_VISB01000001.1_1004	susD		
NZ_VISB01000001	PUL4	NZ_VISB01000001.1_1005	NZ_VISB01000001.1	1130717	1133872	-	12	NZ_VISB01000001.1_1005	susC		
NZ_VISB01000001	PUL4	NZ_VISB01000001.1_1006	NZ_VISB01000001.1	1134094	1136445	-	222	NZ_VISB01000001.1_1006		GH20	
NZ_VISB01000001	PUL4	NZ_VISB01000001.1_1007	NZ_VISB01000001.1	1136462	1137601	-	17	NZ_VISB01000001.1_1007			
NZ_VISB01000001	PUL4	NZ_VISB01000001.1_1008	NZ_VISB01000001.1	1137576	1138616	-	-25	NZ_VISB01000001.1_1008		CBM9	
NZ_VISB01000001	PUL5	NZ_VISB01000001.1_1145	NZ_VISB01000001.1	1310916	1313672	-	172300	NZ_VISB01000001.1_1145		CBM67;GH78	
NZ_VISB01000001	PUL5	NZ_VISB01000001.1_1146	NZ_VISB01000001.1	1313683	1316475	-	11	NZ_VISB01000001.1_1146		GH78;CBM67	
NZ_VISB01000001	PUL5	NZ_VISB01000001.1_1147	NZ_VISB01000001.1	1316610	1318109	-	135	NZ_VISB01000001.1_1147	susD		
NZ_VISB01000001	PUL5	NZ_VISB01000001.1_1148	NZ_VISB01000001.1	1318129	1321200	-	20	NZ_VISB01000001.1_1148	susC		
NZ_VISB01000001	PUL5	NZ_VISB01000001.1_1149	NZ_VISB01000001.1	1321489	1323021	-	289	NZ_VISB01000001.1_1149	susD		
NZ_VISB01000001	PUL5	NZ_VISB01000001.1_1150	NZ_VISB01000001.1	1323034	1326126	-	13	NZ_VISB01000001.1_1150	susC		
NZ_VISB01000001	PUL6	NZ_VISB01000001.1_1629	NZ_VISB01000001.1	1940266	1941642	-	614140	NZ_VISB01000001.1_1629	susD		
NZ_VISB01000001	PUL6	NZ_VISB01000001.1_1630	NZ_VISB01000001.1	1941655	1944708	-	13	NZ_VISB01000001.1_1630	susC		
NZ_VISB01000001	PUL7	NZ_VISB01000001.1_1931	NZ_VISB01000001.1	2263644	2265416	-	318936	NZ_VISB01000001.1_1931		GH13_38	
NZ_VISB01000001	PUL7	NZ_VISB01000001.1_1932	NZ_VISB01000001.1	2265473	2267776	-	57	NZ_VISB01000001.1_1932		GH65	
NZ_VISB01000001	PUL7	NZ_VISB01000001.1_1933	NZ_VISB01000001.1	2267832	2268500	-	56	NZ_VISB01000001.1_1933			
NZ_VISB01000001	PUL7	NZ_VISB01000001.1_1934	NZ_VISB01000001.1	2268514	2269533	-	14	NZ_VISB01000001.1_1934			
NZ_VISB01000001	PUL7	NZ_VISB01000001.1_1935	NZ_VISB01000001.1	2269865	2272987	+	332	NZ_VISB01000001.1_1935	susC		
NZ_VISB01000001	PUL7	NZ_VISB01000001.1_1936	NZ_VISB01000001.1	2273007	2274620	+	20	NZ_VISB01000001.1_1936	susD		
NZ_VISB01000001	PUL8	NZ_VISB01000001.1_2440	NZ_VISB01000001.1	2862699	2864123	-	588079	NZ_VISB01000001.1_2440	susD		
NZ_VISB01000001	PUL8	NZ_VISB01000001.1_2441	NZ_VISB01000001.1	2864130	2867333	-	7	NZ_VISB01000001.1_2441	susC		
NZ_VISB01000001	PUL9	NZ_VISB01000001.1_2638	NZ_VISB01000001.1	3070942	3072822	-	203609	NZ_VISB01000001.1_2638	susD		
NZ_VISB01000001	PUL9	NZ_VISB01000001.1_2639	NZ_VISB01000001.1	3072832	3076080	-	10	NZ_VISB01000001.1_2639	susC		
NZ_VISB01000001	PUL9	NZ_VISB01000001.1_2640	NZ_VISB01000001.1	3076526	3077542	+	446	NZ_VISB01000001.1_2640			
NZ_VISB01000001	PUL9	NZ_VISB01000001.1_2641	NZ_VISB01000001.1	3077675	3078649	+	133	NZ_VISB01000001.1_2641			
NZ_VISB01000001	PUL9	NZ_VISB01000001.1_2642	NZ_VISB01000001.1	3078646	3079788	-	-3	NZ_VISB01000001.1_2642			
NZ_VISB01000001	PUL9	NZ_VISB01000001.1_2643	NZ_VISB01000001.1	3079859	3082135	-	71	NZ_VISB01000001.1_2643	susC		
NZ_VISB01000001	PUL9	NZ_VISB01000001.1_2644	NZ_VISB01000001.1	3082212	3082874	+	77	NZ_VISB01000001.1_2644			
NZ_VISB01000001	PUL9	NZ_VISB01000001.1_2645	NZ_VISB01000001.1	3082888	3083709	+	14	NZ_VISB01000001.1_2645			
NZ_VISB01000001	PUL9	NZ_VISB01000001.1_2646	NZ_VISB01000001.1	3083899	3084264	+	190	NZ_VISB01000001.1_2646			
NZ_VISB01000001	PUL9	NZ_VISB01000001.1_2647	NZ_VISB01000001.1	3084321	3084752	+	57	NZ_VISB01000001.1_2647			
NZ_VISB01000001	PUL9	NZ_VISB01000001.1_2648	NZ_VISB01000001.1	3084773	3085195	-	21	NZ_VISB01000001.1_2648	susC		
NZ_VISB01000001	PUL9	NZ_VISB01000001.1_2649	NZ_VISB01000001.1	3085275	3085661	+	80	NZ_VISB01000001.1_2649			
