genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
FQ312004	PUL1	FQ312004.1_271	FQ312004.1	296165	297757	-	0	FQ312004.1_271		GH27	
FQ312004	PUL1	FQ312004.1_272	FQ312004.1	297849	299693	-	92	FQ312004.1_272	susD		
FQ312004	PUL1	FQ312004.1_273	FQ312004.1	299708	303106	-	15	FQ312004.1_273	susC		
FQ312004	PUL1	FQ312004.1_274	FQ312004.1	303122	303253	-	16	FQ312004.1_274			
FQ312004	PUL1	FQ312004.1_275	FQ312004.1	303272	304420	-	19	FQ312004.1_275			
FQ312004	PUL1	FQ312004.1_276	FQ312004.1	304508	305050	-	88	FQ312004.1_276			
FQ312004	PUL1	FQ312004.1_277	FQ312004.1	305281	307440	-	231	FQ312004.1_277		GH36	
FQ312004	PUL2	FQ312004.1_323	FQ312004.1	361890	362966	-	54450	FQ312004.1_323		GH43_26	
FQ312004	PUL2	FQ312004.1_324	FQ312004.1	363048	365546	-	82	FQ312004.1_324		GH3	
FQ312004	PUL2	FQ312004.1_325	FQ312004.1	365689	366855	-	143	FQ312004.1_325		GH76	
FQ312004	PUL2	FQ312004.1_326	FQ312004.1	367071	368831	-	216	FQ312004.1_326		GH2_19	
FQ312004	PUL2	FQ312004.1_327	FQ312004.1	368972	371008	-	141	FQ312004.1_327		GH127	
FQ312004	PUL2	FQ312004.1_328	FQ312004.1	371047	373110	-	39	FQ312004.1_328		GH127	
FQ312004	PUL2	FQ312004.1_329	FQ312004.1	373388	374494	+	278	FQ312004.1_329		GH43_26	
FQ312004	PUL2	FQ312004.1_330	FQ312004.1	374597	376411	+	103	FQ312004.1_330		GH2_18	
FQ312004	PUL2	FQ312004.1_331	FQ312004.1	376507	379017	+	96	FQ312004.1_331			
FQ312004	PUL2	FQ312004.1_332	FQ312004.1	379166	381634	-	149	FQ312004.1_332	susC		
FQ312004	PUL2	FQ312004.1_333	FQ312004.1	381654	385271	-	20	FQ312004.1_333		GH38	
FQ312004	PUL2	FQ312004.1_334	FQ312004.1	385615	388818	+	344	FQ312004.1_334	susC		
FQ312004	PUL2	FQ312004.1_335	FQ312004.1	388847	390712	+	29	FQ312004.1_335	susD		
FQ312004	PUL2	FQ312004.1_336	FQ312004.1	390732	391439	+	20	FQ312004.1_336			
FQ312004	PUL2	FQ312004.1_337	FQ312004.1	391538	391966	+	99	FQ312004.1_337			
FQ312004	PUL2	FQ312004.1_338	FQ312004.1	392061	393038	+	95	FQ312004.1_338		GH43_3	
FQ312004	PUL3	FQ312004.1_368	FQ312004.1	435092	437668	+	42054	FQ312004.1_368	susC		
FQ312004	PUL3	FQ312004.1_369	FQ312004.1	437949	439169	-	281	FQ312004.1_369		GH154	
FQ312004	PUL3	FQ312004.1_370	FQ312004.1	439169	441256	-	0	FQ312004.1_370		GH2_2	
FQ312004	PUL3	FQ312004.1_371	FQ312004.1	441313	442848	-	57	FQ312004.1_371		GH20	
FQ312004	PUL3	FQ312004.1_372	FQ312004.1	442879	443790	-	31	FQ312004.1_372			
FQ312004	PUL3	FQ312004.1_373	FQ312004.1	443811	445022	-	21	FQ312004.1_373		GH88	
FQ312004	PUL3	FQ312004.1_374	FQ312004.1	445026	446933	-	4	FQ312004.1_374		PL33	
FQ312004	PUL3	FQ312004.1_375	FQ312004.1	447285	449132	-	352	FQ312004.1_375	susD		
FQ312004	PUL3	FQ312004.1_376	FQ312004.1	449150	452503	-	18	FQ312004.1_376	susC		
FQ312004	PUL3	FQ312004.1_377	FQ312004.1	452868	454517	+	365	FQ312004.1_377			
FQ312004	PUL3	FQ312004.1_378	FQ312004.1	454611	457049	-	94	FQ312004.1_378			
FQ312004	PUL3	FQ312004.1_379	FQ312004.1	457189	457932	-	140	FQ312004.1_379			
FQ312004	PUL3	FQ312004.1_380	FQ312004.1	457933	459288	-	1	FQ312004.1_380		GH144	
FQ312004	PUL3	FQ312004.1_381	FQ312004.1	459454	461754	-	166	FQ312004.1_381		GH3	
FQ312004	PUL3	FQ312004.1_382	FQ312004.1	461857	463377	-	103	FQ312004.1_382	susD		
FQ312004	PUL3	FQ312004.1_383	FQ312004.1	463389	466439	-	12	FQ312004.1_383	susC		
FQ312004	PUL4	FQ312004.1_393	FQ312004.1	471829	474888	+	5390	FQ312004.1_393	susC		
FQ312004	PUL4	FQ312004.1_394	FQ312004.1	474917	476404	+	29	FQ312004.1_394	susD		
FQ312004	PUL5	FQ312004.1_406	FQ312004.1	489139	491067	-	12735	FQ312004.1_406		GH163	
FQ312004	PUL5	FQ312004.1_407	FQ312004.1	491077	491574	-	10	FQ312004.1_407			
FQ312004	PUL5	FQ312004.1_408	FQ312004.1	491568	493271	-	-6	FQ312004.1_408	susD		
FQ312004	PUL5	FQ312004.1_409	FQ312004.1	493278	496463	-	7	FQ312004.1_409	susC		
FQ312004	PUL6	FQ312004.1_424	FQ312004.1	515738	517012	-	19275	FQ312004.1_424		GH171	
FQ312004	PUL6	FQ312004.1_425	FQ312004.1	517054	518352	-	42	FQ312004.1_425			
FQ312004	PUL6	FQ312004.1_426	FQ312004.1	518368	519723	-	16	FQ312004.1_426			
FQ312004	PUL6	FQ312004.1_427	FQ312004.1	519720	520652	-	-3	FQ312004.1_427			
FQ312004	PUL6	FQ312004.1_428	FQ312004.1	520649	522115	-	-3	FQ312004.1_428		GT2_Glycos_transf_2	
FQ312004	PUL6	FQ312004.1_429	FQ312004.1	522139	524004	-	24	FQ312004.1_429			
FQ312004	PUL6	FQ312004.1_430	FQ312004.1	524100	527171	-	96	FQ312004.1_430			
FQ312004	PUL6	FQ312004.1_431	FQ312004.1	527179	528630	-	8	FQ312004.1_431			
FQ312004	PUL6	FQ312004.1_432	FQ312004.1	528671	529876	-	41	FQ312004.1_432		GH171	
FQ312004	PUL6	FQ312004.1_433	FQ312004.1	530061	531758	-	185	FQ312004.1_433	susD		
FQ312004	PUL6	FQ312004.1_434	FQ312004.1	531788	535123	-	30	FQ312004.1_434	susC		
FQ312004	PUL7	FQ312004.1_527	FQ312004.1	626611	628533	-	91488	FQ312004.1_527		GT51	
FQ312004	PUL7	FQ312004.1_528	FQ312004.1	628635	629924	+	102	FQ312004.1_528			
FQ312004	PUL7	FQ312004.1_529	FQ312004.1	630003	630563	+	79	FQ312004.1_529			
FQ312004	PUL7	FQ312004.1_530	FQ312004.1	630737	632905	-	174	FQ312004.1_530		GH36	
FQ312004	PUL7	FQ312004.1_531	FQ312004.1	633019	635256	-	114	FQ312004.1_531		GH31_16	
FQ312004	PUL7	FQ312004.1_532	FQ312004.1	635364	637079	-	108	FQ312004.1_532	susD		
FQ312004	PUL7	FQ312004.1_533	FQ312004.1	637096	640266	-	17	FQ312004.1_533	susC		
FQ312004	PUL8	FQ312004.1_547	FQ312004.1	659199	662390	+	18933	FQ312004.1_547	susC		
FQ312004	PUL8	FQ312004.1_548	FQ312004.1	662406	664376	+	16	FQ312004.1_548	susD		
FQ312004	PUL9	FQ312004.1_566	FQ312004.1	685396	688809	+	21020	FQ312004.1_566	susC		
FQ312004	PUL9	FQ312004.1_567	FQ312004.1	688833	690320	+	24	FQ312004.1_567	susD		
FQ312004	PUL9	FQ312004.1_568	FQ312004.1	690444	692837	+	124	FQ312004.1_568			
FQ312004	PUL9	FQ312004.1_569	FQ312004.1	693010	695958	+	173	FQ312004.1_569		GH115	
FQ312004	PUL10	FQ312004.1_594	FQ312004.1	727653	729872	-	31695	FQ312004.1_594	susC		
FQ312004	PUL10	FQ312004.1_595	FQ312004.1	730085	730990	+	213	FQ312004.1_595			
FQ312004	PUL10	FQ312004.1_596	FQ312004.1	731060	731299	-	70	FQ312004.1_596			
FQ312004	PUL10	FQ312004.1_597	FQ312004.1	731427	732014	+	128	FQ312004.1_597			
FQ312004	PUL10	FQ312004.1_598	FQ312004.1	732076	733074	+	62	FQ312004.1_598			
FQ312004	PUL10	FQ312004.1_599	FQ312004.1	733080	735683	+	6	FQ312004.1_599		GH95	
FQ312004	PUL10	FQ312004.1_600	FQ312004.1	735779	739060	+	96	FQ312004.1_600	susC		
FQ312004	PUL10	FQ312004.1_601	FQ312004.1	739073	740641	+	13	FQ312004.1_601	susD		
FQ312004	PUL10	FQ312004.1_602	FQ312004.1	740678	743587	+	37	FQ312004.1_602		GH2_6	
FQ312004	PUL10	FQ312004.1_603	FQ312004.1	743600	746383	+	13	FQ312004.1_603		GH35	
FQ312004	PUL10	FQ312004.1_604	FQ312004.1	746395	747975	+	12	FQ312004.1_604		CBM91;GH43_10	
FQ312004	PUL10	FQ312004.1_605	FQ312004.1	748171	748347	-	196	FQ312004.1_605			
FQ312004	PUL10	FQ312004.1_606	FQ312004.1	748443	749666	-	96	FQ312004.1_606			
FQ312004	PUL10	FQ312004.1_607	FQ312004.1	749700	752039	-	34	FQ312004.1_607	susC		
FQ312004	PUL11	FQ312004.1_617	FQ312004.1	759794	761389	-	7755	FQ312004.1_617	susD		
FQ312004	PUL11	FQ312004.1_618	FQ312004.1	761401	764367	-	12	FQ312004.1_618	susC		
FQ312004	PUL12	FQ312004.1_619	FQ312004.1	764908	766407	-	541	FQ312004.1_619	susD		
FQ312004	PUL12	FQ312004.1_620	FQ312004.1	766440	769475	-	33	FQ312004.1_620	susC		
FQ312004	PUL13	FQ312004.1_622	FQ312004.1	771722	774646	+	2247	FQ312004.1_622	susC		
FQ312004	PUL13	FQ312004.1_623	FQ312004.1	774681	776075	+	35	FQ312004.1_623	susD		
FQ312004	PUL14	FQ312004.1_682	FQ312004.1	842315	844600	+	66240	FQ312004.1_682		GH92	
FQ312004	PUL14	FQ312004.1_683	FQ312004.1	844641	847307	+	41	FQ312004.1_683			
FQ312004	PUL14	FQ312004.1_684	FQ312004.1	847250	847651	-	-57	FQ312004.1_684			
FQ312004	PUL14	FQ312004.1_685	FQ312004.1	848089	851274	+	438	FQ312004.1_685	susC		
FQ312004	PUL14	FQ312004.1_686	FQ312004.1	851288	852970	+	14	FQ312004.1_686	susD		
FQ312004	PUL14	FQ312004.1_687	FQ312004.1	852992	853945	+	22	FQ312004.1_687		CBM32	
FQ312004	PUL14	FQ312004.1_688	FQ312004.1	853974	855425	+	29	FQ312004.1_688		GH29	
FQ312004	PUL14	FQ312004.1_689	FQ312004.1	855444	859097	+	19	FQ312004.1_689		GH2_10	
FQ312004	PUL14	FQ312004.1_690	FQ312004.1	859243	860475	-	146	FQ312004.1_690			
FQ312004	PUL14	FQ312004.1_691	FQ312004.1	860760	861635	+	285	FQ312004.1_691			
FQ312004	PUL14	FQ312004.1_692	FQ312004.1	861648	862817	+	13	FQ312004.1_692			
FQ312004	PUL14	FQ312004.1_693	FQ312004.1	863095	865056	+	278	FQ312004.1_693		GH20	
FQ312004	PUL15	FQ312004.1_704	FQ312004.1	877319	879052	-	12263	FQ312004.1_704	susD		
FQ312004	PUL15	FQ312004.1_705	FQ312004.1	879075	882491	-	23	FQ312004.1_705	susC		
FQ312004	PUL15	FQ312004.1_706	FQ312004.1	882736	885006	-	245	FQ312004.1_706		GH92	
FQ312004	PUL15	FQ312004.1_707	FQ312004.1	885109	887376	-	103	FQ312004.1_707		GH92	
FQ312004	PUL15	FQ312004.1_708	FQ312004.1	887406	888404	-	30	FQ312004.1_708			
FQ312004	PUL15	FQ312004.1_709	FQ312004.1	888457	889011	-	53	FQ312004.1_709			
FQ312004	PUL15	FQ312004.1_710	FQ312004.1	889050	891266	-	39	FQ312004.1_710		GH92	
FQ312004	PUL16	FQ312004.1_789	FQ312004.1	974967	977135	+	83701	FQ312004.1_789		GH3	
FQ312004	PUL16	FQ312004.1_790	FQ312004.1	977516	980653	+	381	FQ312004.1_790	susC		
FQ312004	PUL16	FQ312004.1_791	FQ312004.1	980679	982346	+	26	FQ312004.1_791	susD		
FQ312004	PUL16	FQ312004.1_792	FQ312004.1	982346	983488	+	0	FQ312004.1_792			
FQ312004	PUL16	FQ312004.1_793	FQ312004.1	983616	985403	+	128	FQ312004.1_793			
FQ312004	PUL16	FQ312004.1_794	FQ312004.1	985400	988615	+	-3	FQ312004.1_794		CBM6	
FQ312004	PUL16	FQ312004.1_795	FQ312004.1	988615	989730	+	0	FQ312004.1_795		GH26	
FQ312004	PUL16	FQ312004.1_796	FQ312004.1	989848	991155	+	118	FQ312004.1_796		GH5_7	
FQ312004	PUL16	FQ312004.1_797	FQ312004.1	991179	993596	+	24	FQ312004.1_797		GH3	
FQ312004	PUL16	FQ312004.1_798	FQ312004.1	993602	994855	+	6	FQ312004.1_798			
FQ312004	PUL16	FQ312004.1_799	FQ312004.1	995048	995686	+	193	FQ312004.1_799			
FQ312004	PUL16	FQ312004.1_800	FQ312004.1	995689	996393	+	3	FQ312004.1_800			
