Organism,Scaffold,Start,End,Score,LT622246_3463,LT622246_3464,LT622246_3465,LT622246_3466,LT622246_3467,LT622246_3468,LT622246_3469,LT622246_3470,LT622246_3471,LT622246_3472,LT622246_3473,LT622246_3474,LT622246_3475,LT622246_3476,LT622246_3477,LT622246_3478,LT622246_3479
AE015928,AE015928.1,1241792,1251620,6.4277,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AP006841,AP006841.1,1978556,1982397,6.2129,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
CP000139,CP000139.1,3361863,3367976,5.3403,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP000139,CP000139.1,5064220,5067598,4.1890,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
CP012801,CP012801.1,6357237,6363723,5.3775,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR626927,CR626927.1,1995683,1999524,6.2130,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
FP929033,FP929033.1,412692,439577,28.3107,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
FQ312004,FQ312004.1,2001116,2004957,6.2129,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
LR131284,LR131284.1,4199,7589,4.1805,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
LT622246,LT622246.1,4548049,4573767,34.6522,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_CP046176,NZ_CP046176.1,1800110,1806223,5.3411,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CP046176,NZ_CP046176.1,3677314,3680692,4.1886,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
NZ_CP113514,NZ_CP113514.1,2695798,2721561,34.6383,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_CP113514,NZ_CP113514.1,2323977,2328027,6.2119,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
NZ_DS990126,NZ_DS990126.1,37296,41152,6.2036,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
NZ_KB905472,NZ_KB905472.1,3014165,3017997,4.1874,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
