genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
NZ_GL892007	PUL1	NZ_GL892007.1_149	NZ_GL892007.1	169148	171307	+	0	NZ_GL892007.1_149	susC		
NZ_GL892007	PUL1	NZ_GL892007.1_150	NZ_GL892007.1	171304	171792	+	-3	NZ_GL892007.1_150			
NZ_GL892007	PUL1	NZ_GL892007.1_151	NZ_GL892007.1	171934	174597	-	142	NZ_GL892007.1_151		GH78	
NZ_GL892007	PUL1	NZ_GL892007.1_152	NZ_GL892007.1	174609	175754	-	12	NZ_GL892007.1_152		GH130_3	
NZ_GL892007	PUL1	NZ_GL892007.1_153	NZ_GL892007.1	176051	178204	-	297	NZ_GL892007.1_153		GH92	
NZ_GL892007	PUL1	NZ_GL892007.1_154	NZ_GL892007.1	178210	178476	-	6	NZ_GL892007.1_154			
NZ_GL892007	PUL1	NZ_GL892007.1_155	NZ_GL892007.1	178496	180775	-	20	NZ_GL892007.1_155		GH92	
NZ_GL892007	PUL1	NZ_GL892007.1_156	NZ_GL892007.1	180962	184063	-	187	NZ_GL892007.1_156	susC		
NZ_GL892007	PUL1	NZ_GL892007.1_157	NZ_GL892007.1	184102	185880	-	39	NZ_GL892007.1_157	susD		
NZ_GL892007	PUL1	NZ_GL892007.1_158	NZ_GL892007.1	185902	189081	-	22	NZ_GL892007.1_158			
NZ_GL892007	PUL1	NZ_GL892007.1_159	NZ_GL892007.1	189113	190234	-	32	NZ_GL892007.1_159			
NZ_GL892007	PUL1	NZ_GL892007.1_160	NZ_GL892007.1	190246	190701	-	12	NZ_GL892007.1_160			
NZ_GL892007	PUL1	NZ_GL892007.1_161	NZ_GL892007.1	190745	192571	-	44	NZ_GL892007.1_161	susD		
NZ_GL892007	PUL1	NZ_GL892007.1_162	NZ_GL892007.1	192604	194934	-	33	NZ_GL892007.1_162		GH92	
NZ_GL892007	PUL1	NZ_GL892007.1_163	NZ_GL892007.1	194961	197501	-	27	NZ_GL892007.1_163		GH38	
NZ_GL892007	PUL2	NZ_GL892007.1_186	NZ_GL892007.1	221226	224585	+	23725	NZ_GL892007.1_186	susC		
NZ_GL892007	PUL2	NZ_GL892007.1_187	NZ_GL892007.1	224605	226134	+	20	NZ_GL892007.1_187	susD		
NZ_GL892007	PUL2	NZ_GL892007.1_188	NZ_GL892007.1	226359	227168	+	225	NZ_GL892007.1_188		GH16_3	
NZ_GL892007	PUL3	NZ_GL892007.1_194	NZ_GL892007.1	234463	236679	-	7295	NZ_GL892007.1_194		GH10	
NZ_GL892007	PUL3	NZ_GL892007.1_195	NZ_GL892007.1	236701	237741	-	22	NZ_GL892007.1_195			
NZ_GL892007	PUL3	NZ_GL892007.1_196	NZ_GL892007.1	237777	239582	-	36	NZ_GL892007.1_196	susD		
NZ_GL892007	PUL3	NZ_GL892007.1_197	NZ_GL892007.1	239597	242434	-	15	NZ_GL892007.1_197	susC		
NZ_GL892007	PUL3	NZ_GL892007.1_198	NZ_GL892007.1	242478	244421	-	44	NZ_GL892007.1_198	susD		
NZ_GL892007	PUL3	NZ_GL892007.1_199	NZ_GL892007.1	244433	247576	-	12	NZ_GL892007.1_199	susC		
NZ_GL892007	PUL4	NZ_GL892007.1_231	NZ_GL892007.1	303811	307002	+	56235	NZ_GL892007.1_231	susC		
NZ_GL892007	PUL4	NZ_GL892007.1_232	NZ_GL892007.1	307022	309097	+	20	NZ_GL892007.1_232	susD		
