Organism,Scaffold,Start,End,Score,LT622246_2207,LT622246_2208,LT622246_2209,LT622246_2210,LT622246_2211,LT622246_2212,LT622246_2213,LT622246_2214,LT622246_2215,LT622246_2216,LT622246_2217,LT622246_2218,LT622246_2219,LT622246_2220,LT622246_2221,LT622246_2222,LT622246_2223,LT622246_2224,LT622246_2225,LT622246_2226,LT622246_2227,LT622246_2228,LT622246_2229,LT622246_2230,LT622246_2231,LT622246_2232,LT622246_2233,LT622246_2234,LT622246_2235,LT622246_2236,LT622246_2237,LT622246_2238,LT622246_2239
ABJL02000008,ABJL02000008.1,2630429,2638884,5.3518,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
ABJL02000008,ABJL02000008.1,2602820,2609790,4.3192,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
AE015928,AE015928.1,5490419,5506823,13.8329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
AE015928,AE015928.1,5441390,5458835,10.7705,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP000139,CP000139.1,279639,296905,11.7357,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CP000139,CP000139.1,228066,233139,5.2373,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
CP012801,CP012801.1,5460819,5473032,7.4569,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
CP012801,CP012801.1,5479800,5484964,3.2442,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
FP929033,FP929033.1,4024207,4085400,51.3599,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,0,1
JABKKG010000004,JABKKG010000004.1,166308,170381,3.1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
JH724241,JH724241.1,2424201,2481718,47.0174,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,2,1,1,1,1,1,1,2
LT622246,LT622246.1,2989775,3049519,62.8015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,2
NZ_CP046176,NZ_CP046176.1,4106781,4124046,11.7352,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
NZ_CP046176,NZ_CP046176.1,4033546,4038618,5.2368,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
NZ_CP113514,NZ_CP113514.1,1053806,1111546,56.4724,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,2
