dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH144_e1	GH144:450|GH3:1	3.2.1.71:1|3.2.1.214:1	beta-glucan, beta-glucan	412	KCP55_RS04010	452	1.7e-213	1	411	39	447	0.9951456310679612	0.9951456310679612
GH144_e1	GH144:450|GH3:1	3.2.1.71:1|3.2.1.214:1	beta-glucan, beta-glucan	412	KCP55_RS04015	478	7.7e-205	1	411	63	475	0.9951456310679612	0.9951456310679612
GH3_e1	GH3:5872|GH16:4|CBM6:2|GH144:1	3.2.1.21:20|3.2.1.-:6	beta-glucan, beta-glucan	222	KCP55_RS04025	756	3.4e-107	1	222	95	315	0.9954954954954955	0.9954954954954955
PL6_e7	PL6_1:35|PL6:2|PL6_2:1	4.2.2.11:2|4.2.2.-:2|4.2.2.3:1	alginate, alginate, alginate	366	KCP55_RS04075	772	2.1e-115	1	363	28	407	0.9890710382513661	0.9890710382513661
PL6_e2	PL6_1:64|PL6:1	4.2.2.11:1|4.2.2.-:1	alginate, alginate	255	KCP55_RS04075	772	4.1e-80	2	229	511	729	0.8901960784313725	0.8901960784313725
PL12_e26	PL12:30	-	-	146	KCP55_RS04080	741	6.7e-80	2	146	413	557	0.9863013698630136	0.9863013698630136
PL6_e0	PL6_1:105|PL6:3	4.2.2.-:1	alginate	364	KCP55_RS04085	777	4.6e-134	1	362	28	393	0.9917582417582418	0.9917582417582418
PL6_e5	PL6_1:138	4.2.2.11:4|4.2.2.-:3|4.2.2.26:1	alginate, alginate, alginate	253	KCP55_RS04085	777	1.4e-85	4	251	471	722	0.9762845849802372	0.9762845849802372
PL17_e2	PL17_2:99	4.2.2.3:1	alginate	133	KCP55_RS04090	722	2.6e-21	45	130	159	261	0.6390977443609023	0.6390977443609023
PL17_e2	PL17_2:99	4.2.2.3:1	alginate	133	KCP55_RS04090	722	3e-64	1	132	382	513	0.9849624060150376	0.9849624060150376
