Organism,Scaffold,Start,End,Score,CP001393_1876,CP001393_1877,CP001393_1878,CP001393_1879,CP001393_1880,CP001393_1881,CP001393_1882,CP001393_1883,CP001393_1884,CP001393_1885,CP001393_1886,CP001393_1887,CP001393_1888,CP001393_1889,CP001393_1890,CP001393_1891,CP001393_1892,CP001393_1893
CP001393,CP001393.1,1929396,1982736,37.8254,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
NZ_LACM01000001,NZ_LACM01000001.1,2094991,2126410,21.4981,1,1,3,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
NZ_LACM01000001,NZ_LACM01000001.1,2131620,2154688,10.0184,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1
