genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
AAXF02000047	PUL1	AAXF02000047.1_28	AAXF02000047.1	33206	35389	-	0	AAXF02000047.1_28		GH89	
AAXF02000047	PUL1	AAXF02000047.1_29	AAXF02000047.1	35396	36481	-	7	AAXF02000047.1_29			
AAXF02000047	PUL1	AAXF02000047.1_30	AAXF02000047.1	36496	37752	-	15	AAXF02000047.1_30			
AAXF02000047	PUL1	AAXF02000047.1_31	AAXF02000047.1	37759	38901	-	7	AAXF02000047.1_31			
AAXF02000047	PUL1	AAXF02000047.1_32	AAXF02000047.1	38910	41066	-	9	AAXF02000047.1_32		GH89	
AAXF02000047	PUL1	AAXF02000047.1_33	AAXF02000047.1	41095	41886	-	29	AAXF02000047.1_33			
AAXF02000047	PUL1	AAXF02000047.1_34	AAXF02000047.1	41906	43639	-	20	AAXF02000047.1_34	susD		
AAXF02000047	PUL1	AAXF02000047.1_35	AAXF02000047.1	43660	47079	-	21	AAXF02000047.1_35	susC		
AAXF02000047	PUL2	AAXF02000047.1_38	AAXF02000047.1	50103	53036	+	3024	AAXF02000047.1_38	susC		
AAXF02000047	PUL2	AAXF02000047.1_39	AAXF02000047.1	53052	54581	+	16	AAXF02000047.1_39	susD		
AAXF02000047	PUL2	AAXF02000047.1_40	AAXF02000047.1	54641	56605	+	60	AAXF02000047.1_40			
AAXF02000047	PUL2	AAXF02000047.1_41	AAXF02000047.1	56618	58225	+	13	AAXF02000047.1_41			
AAXF02000047	PUL2	AAXF02000047.1_42	AAXF02000047.1	58232	59779	+	7	AAXF02000047.1_42			
AAXF02000047	PUL2	AAXF02000047.1_43	AAXF02000047.1	59792	61390	+	13	AAXF02000047.1_43		CE1	
AAXF02000047	PUL2	AAXF02000047.1_44	AAXF02000047.1	61392	62912	+	2	AAXF02000047.1_44		CE1	
AAXF02000047	PUL2	AAXF02000047.1_45	AAXF02000047.1	62931	63938	+	19	AAXF02000047.1_45			
AAXF02000047	PUL2	AAXF02000047.1_46	AAXF02000047.1	63962	64939	+	24	AAXF02000047.1_46			
AAXF02000047	PUL2	AAXF02000047.1_47	AAXF02000047.1	65020	66855	-	81	AAXF02000047.1_47			
AAXF02000047	PUL2	AAXF02000047.1_48	AAXF02000047.1	67018	67992	-	163	AAXF02000047.1_48		GH18	
AAXF02000047	PUL2	AAXF02000047.1_49	AAXF02000047.1	68062	69735	-	70	AAXF02000047.1_49			
AAXF02000047	PUL2	AAXF02000047.1_50	AAXF02000047.1	69759	71393	-	24	AAXF02000047.1_50	susD		
AAXF02000047	PUL2	AAXF02000047.1_51	AAXF02000047.1	71414	74374	-	21	AAXF02000047.1_51	susC		
AAXF02000047	PUL3	AAXF02000047.1_74	AAXF02000047.1	112375	113547	-	38001	AAXF02000047.1_74		GH130_1	
AAXF02000047	PUL3	AAXF02000047.1_75	AAXF02000047.1	113589	115796	-	42	AAXF02000047.1_75		GH36	
AAXF02000047	PUL3	AAXF02000047.1_76	AAXF02000047.1	115806	116903	-	10	AAXF02000047.1_76		GH26	
AAXF02000047	PUL3	AAXF02000047.1_77	AAXF02000047.1	116924	118006	-	21	AAXF02000047.1_77		GH26	
AAXF02000047	PUL3	AAXF02000047.1_78	AAXF02000047.1	118026	119201	-	20	AAXF02000047.1_78			
