Organism,Scaffold,Start,End,Score,NZ_ACFY01000156_32,NZ_ACFY01000156_33,NZ_ACFY01000156_34,NZ_ACFY01000156_35,NZ_ACFY01000156_36,NZ_ACFY01000156_37,NZ_ACFY01000156_38
CP173697,CP173697.1,2448882,2456124,8.3415,1,1,1,1,1,0,1
FP929042,FP929042.1,3230561,3236880,8.3288,0,1,1,1,1,1,1
GU591787,GU591787.1,20,7392,10.4536,1,1,1,1,1,1,1
NC_012781,NC_012781.1,236958,243208,8.3297,0,1,1,1,1,1,1
NZ_ACFY01000156,NZ_ACFY01000156.1,29139,36513,8.4129,1,1,1,0,0,1,1
NZ_CP022413,NZ_CP022413.2,447902,454000,5.2335,1,0,1,1,0,1,0
