Organism,Scaffold,Start,End,Score,NC_002505_568,NC_002505_569,NC_002505_570,NC_002505_571,NC_002505_572,NC_002505_573,NC_002505_574,NC_002505_575,NC_002505_576,NC_002505_577,NC_002505_578
AE016795,AE016795.3,1636234,1655038,18.8864,1,1,0,1,1,1,1,1,1,1,1
NC_002505,NC_002505.1,642813,661767,22.1678,1,1,1,1,1,1,1,1,1,1,1
NC_006370,NC_006370.1,541672,554206,10.4350,1,1,0,0,0,1,1,1,1,0,0
NC_006840,NC_006840.2,2391188,2405535,13.6028,1,1,0,1,0,1,1,1,1,1,0
NZ_CP090614,NZ_CP090614.1,2159272,2179361,15.7718,1,1,0,1,0,1,1,1,1,1,1
