genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
AP006841	PUL1	AP006841.1_265	AP006841.1	296774	298366	-	0	AP006841.1_265		GH27	
AP006841	PUL1	AP006841.1_266	AP006841.1	298458	300302	-	92	AP006841.1_266	susD		
AP006841	PUL1	AP006841.1_267	AP006841.1	300317	303715	-	15	AP006841.1_267	susC		
AP006841	PUL2	AP006841.1_321	AP006841.1	365867	366943	-	62152	AP006841.1_321		GH43_26	
AP006841	PUL2	AP006841.1_322	AP006841.1	367025	369523	-	82	AP006841.1_322		GH3	
AP006841	PUL2	AP006841.1_323	AP006841.1	369666	370832	-	143	AP006841.1_323		GH76	
AP006841	PUL2	AP006841.1_324	AP006841.1	371048	372808	-	216	AP006841.1_324		GH2_19	
AP006841	PUL2	AP006841.1_325	AP006841.1	372949	374985	-	141	AP006841.1_325		GH127	
AP006841	PUL2	AP006841.1_326	AP006841.1	375024	377087	-	39	AP006841.1_326		GH127	
AP006841	PUL2	AP006841.1_327	AP006841.1	377365	378471	+	278	AP006841.1_327		GH43_26	
AP006841	PUL2	AP006841.1_328	AP006841.1	378574	380388	+	103	AP006841.1_328		GH2_18	
AP006841	PUL2	AP006841.1_329	AP006841.1	380484	382994	+	96	AP006841.1_329			
AP006841	PUL2	AP006841.1_330	AP006841.1	383247	383528	-	253	AP006841.1_330			
AP006841	PUL2	AP006841.1_331	AP006841.1	383548	387165	-	20	AP006841.1_331		GH38	
AP006841	PUL2	AP006841.1_332	AP006841.1	387509	390712	+	344	AP006841.1_332	susC		
AP006841	PUL2	AP006841.1_333	AP006841.1	390719	392572	+	7	AP006841.1_333	susD		
AP006841	PUL2	AP006841.1_334	AP006841.1	392593	393306	+	21	AP006841.1_334			
AP006841	PUL2	AP006841.1_335	AP006841.1	393404	393835	+	98	AP006841.1_335			
AP006841	PUL2	AP006841.1_336	AP006841.1	393927	394904	+	92	AP006841.1_336		GH43_3	
AP006841	PUL3	AP006841.1_367	AP006841.1	437158	439734	+	42254	AP006841.1_367	susC		
