genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
NZ_KI912107	PUL1	NZ_KI912107.1_49	NZ_KI912107.1	50680	52113	-	0	NZ_KI912107.1_49	susD		
NZ_KI912107	PUL1	NZ_KI912107.1_50	NZ_KI912107.1	52131	55151	-	18	NZ_KI912107.1_50	susC		
NZ_KI912107	PUL2	NZ_KI912107.1_495	NZ_KI912107.1	569706	572885	+	514555	NZ_KI912107.1_495	susC		
NZ_KI912107	PUL2	NZ_KI912107.1_496	NZ_KI912107.1	572921	574867	+	36	NZ_KI912107.1_496	susD		
NZ_KI912107	PUL2	NZ_KI912107.1_497	NZ_KI912107.1	574918	577980	+	51	NZ_KI912107.1_497	susC		
NZ_KI912107	PUL2	NZ_KI912107.1_498	NZ_KI912107.1	578009	579895	+	29	NZ_KI912107.1_498	susD		
NZ_KI912107	PUL2	NZ_KI912107.1_499	NZ_KI912107.1	579940	580848	+	45	NZ_KI912107.1_499			
NZ_KI912107	PUL2	NZ_KI912107.1_500	NZ_KI912107.1	580991	582433	-	143	NZ_KI912107.1_500		GH2_1	
NZ_KI912107	PUL2	NZ_KI912107.1_501	NZ_KI912107.1	582378	583481	-	-55	NZ_KI912107.1_501		GH2_1	
NZ_KI912107	PUL2	NZ_KI912107.1_502	NZ_KI912107.1	583831	586014	+	350	NZ_KI912107.1_502		GH3	
NZ_KI912107	PUL2	NZ_KI912107.1_503	NZ_KI912107.1	586181	590341	+	167	NZ_KI912107.1_503			
NZ_KI912107	PUL2	NZ_KI912107.1_504	NZ_KI912107.1	590595	592115	+	254	NZ_KI912107.1_504		GH29	
NZ_KI912107	PUL3	NZ_KI912107.1_505	NZ_KI912107.1	593506	596610	+	1391	NZ_KI912107.1_505	susC		
NZ_KI912107	PUL3	NZ_KI912107.1_506	NZ_KI912107.1	596629	598431	+	19	NZ_KI912107.1_506	susD		
NZ_KI912107	PUL4	NZ_KI912107.1_510	NZ_KI912107.1	602190	605342	+	3759	NZ_KI912107.1_510	susC		
NZ_KI912107	PUL4	NZ_KI912107.1_511	NZ_KI912107.1	605354	607291	+	12	NZ_KI912107.1_511	susD		
NZ_KI912107	PUL4	NZ_KI912107.1_512	NZ_KI912107.1	607311	610169	+	20	NZ_KI912107.1_512	susC		
NZ_KI912107	PUL4	NZ_KI912107.1_513	NZ_KI912107.1	610198	612006	+	29	NZ_KI912107.1_513	susD		
NZ_KI912107	PUL4	NZ_KI912107.1_514	NZ_KI912107.1	612087	612992	+	81	NZ_KI912107.1_514			
NZ_KI912107	PUL4	NZ_KI912107.1_515	NZ_KI912107.1	613097	614611	+	105	NZ_KI912107.1_515			
NZ_KI912107	PUL4	NZ_KI912107.1_516	NZ_KI912107.1	614865	615056	+	254	NZ_KI912107.1_516			
NZ_KI912107	PUL4	NZ_KI912107.1_517	NZ_KI912107.1	615443	616075	+	387	NZ_KI912107.1_517			
NZ_KI912107	PUL4	NZ_KI912107.1_518	NZ_KI912107.1	616245	618668	+	170	NZ_KI912107.1_518		GH3	
NZ_KI912107	PUL5	NZ_KI912107.1_520	NZ_KI912107.1	619403	622480	+	735	NZ_KI912107.1_520	susC		
NZ_KI912107	PUL5	NZ_KI912107.1_521	NZ_KI912107.1	622498	624168	+	18	NZ_KI912107.1_521	susD		
NZ_KI912107	PUL5	NZ_KI912107.1_522	NZ_KI912107.1	624409	626436	+	241	NZ_KI912107.1_522			
