Organism,Scaffold,Start,End,Score,LT622246_4865,LT622246_4866,LT622246_4867,LT622246_4868,LT622246_4869,LT622246_4870,LT622246_4871,LT622246_4872
ABJL02000008,ABJL02000008.1,3395265,3400196,5.2717,0,0,0,1,1,1,0,0
AE015928,AE015928.1,2478306,2484264,4.3503,0,0,1,0,1,1,0,0
AP006841,AP006841.1,4142630,4148686,4.3371,0,0,1,0,1,1,0,0
CP012801,CP012801.1,1563459,1568516,5.2716,0,0,0,1,1,1,0,0
CR626927,CR626927.1,4051812,4057868,4.3373,0,0,1,0,1,1,0,0
FP929033,FP929033.1,1500641,1512336,8.5971,0,0,1,1,1,1,0,1
FQ312004,FQ312004.1,4085058,4091114,4.3373,0,0,1,0,1,1,0,0
LT622246,LT622246.1,6258354,6273868,15.9660,1,1,1,1,1,1,1,1
NC_003228,NC_003228.3,4051812,4057868,4.3373,0,0,1,0,1,1,0,0
NC_004663,NC_004663.1,2478306,2484264,4.3503,0,0,1,0,1,1,0,0
NC_006347,NC_006347.1,4142630,4148686,4.3371,0,0,1,0,1,1,0,0
NC_016776,NC_016776.1,4085058,4091114,4.3373,0,0,1,0,1,1,0,0
NZ_ABJL02000008,NZ_ABJL02000008.1,3395265,3400187,5.2717,0,0,0,1,1,1,0,0
NZ_CP012938,NZ_CP012938.1,2491750,2507264,15.9722,1,1,1,1,1,1,1,1
NZ_CP113514,NZ_CP113514.1,4551424,4566938,15.9705,1,1,1,1,1,1,1,1
