Organism,Scaffold,Start,End,Score,LT622246_4839,LT622246_4840,LT622246_4841,LT622246_4842,LT622246_4843,LT622246_4844
FP929033,FP929033.1,1522362,1532948,11.5663,1,1,1,1,1,1
LT622246,LT622246.1,6226724,6236118,11.5988,1,1,1,1,1,1
NZ_CP113514,NZ_CP113514.1,4521365,4531946,11.5967,1,1,1,1,1,1
