Organism,Scaffold,Start,End,Score,DQ868502_3,DQ868502_4,DQ868502_5,DQ868502_6,DQ868502_7,DQ868502_8,DQ868502_9,DQ868502_10,DQ868502_11,DQ868502_12,DQ868502_13,DQ868502_14,DQ868502_15,DQ868502_16,DQ868502_17,DQ868502_18,DQ868502_19,DQ868502_20,DQ868502_21,DQ868502_22,DQ868502_23,DQ868502_24,DQ868502_25,DQ868502_26,DQ868502_27,DQ868502_28,DQ868502_29
BA000043,BA000043.1,1940771,1954328,18.8000,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DQ868502,DQ868502.2,1561,38010,47.0978,1,1,1,1,0,1,1,1,1,1,1,1,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1
NC_009328,NC_009328.1,1891672,1913507,25.0204,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
NZ_CP020030,NZ_CP020030.1,1983784,2005623,25.0222,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
