Organism,Scaffold,Start,End,Score,CP000303_1988,CP000303_1989,CP000303_1990,CP000303_1991,CP000303_1992,CP000303_1993
AE014295,AE014295.3,1692080,1699655,11.4368,1,1,1,1,1,1
CP000303,CP000303.1,2337396,2344915,11.4665,1,1,1,1,1,1
CP001095,CP001095.1,2773011,2780440,11.4458,1,1,1,1,1,1
CP006712,CP006712.1,2203645,2211167,11.4604,1,1,1,1,1,1
CP016019,CP016019.1,2345393,2352968,11.4371,1,1,1,1,1,1
CP028460,CP028460.1,1883219,1886419,5.1568,1,1,1,0,0,0
CP137763,CP137763.1,2308530,2316078,11.4373,1,1,1,1,1,1
NC_015067,NC_015067.1,2312659,2320207,11.4365,1,1,1,1,1,1
NZ_AP012330,NZ_AP012330.1,2241412,2249074,6.2232,1,1,0,0,1,1
NZ_AP012330,NZ_AP012330.1,2265800,2273462,6.2232,1,1,0,0,1,1
NZ_AP022379,NZ_AP022379.1,2197089,2204637,11.4369,1,1,1,1,1,1
NZ_CP079235,NZ_CP079235.1,2268497,2276266,6.2227,1,1,0,0,1,1
