Organism,Scaffold,Start,End,Score,LT622246_1210,LT622246_1211,LT622246_1212,LT622246_1213,LT622246_1214,LT622246_1215,LT622246_1216,LT622246_1217,LT622246_1218,LT622246_1219,LT622246_1220,LT622246_1221,LT622246_1222,LT622246_1223,LT622246_1224,LT622246_1225,LT622246_1226
AE015928,AE015928.1,4246706,4258987,8.5954,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
FP929033,FP929033.1,3110878,3123878,10.7013,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
FP929033,FP929033.1,2222135,2233629,6.3960,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
GL945092,GL945092.1,430241,442615,11.7698,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
JH724241,JH724241.1,1086929,1099303,11.7721,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
JH724241,JH724241.1,1476829,1488431,6.3972,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
LT622246,LT622246.1,1601095,1630343,32.8493,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NC_004663,NC_004663.1,4246706,4258987,8.5961,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
NZ_CP012938,NZ_CP012938.1,4307031,4336279,32.8539,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_CP113514,NZ_CP113514.1,6399383,6415957,13.7982,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
