genome	pulid	contigid	start	end	pattern
NZ_JPOL01000002	PUL1	NZ_JPOL01000002.1	55841	68655	GH51_2-GH146-GH43_5-GH43_29-GH51_1-susD-susC
NZ_JPOL01000002	PUL2	NZ_JPOL01000002.1	289434	301559	susC-susD-GH33-unk-unk-unk-GH84
NZ_JPOL01000002	PUL3	NZ_JPOL01000002.1	431850	443758	susD-susC-unk-GH130_3-GH13_16
NZ_JPOL01000002	PUL4	NZ_JPOL01000002.1	485437	508312	susD-susC-unk-unk-GH67-GH10-GH115-GH10-unk-susD-susC
NZ_JPOL01000002	PUL5	NZ_JPOL01000002.1	508923	516598	CBM9;CE15-susD-susC
NZ_JPOL01000002	PUL6	NZ_JPOL01000002.1	877661	891783	GH10-GH10-unk-susD-unk-susD-susC
NZ_JPOL01000002	PUL7	NZ_JPOL01000002.1	1061269	1070795	susD-susC-susD-susC
NZ_JPOL01000002	PUL8	NZ_JPOL01000002.1	1150808	1177988	GH28-GH28-AA18-PL10_1-CE12-CE8-unk-CE12-CBM91;GH43_10-GH105-unk-GH28-PL1_2-PL9_1-CE8-unk-susD-susC
NZ_JPOL01000002	PUL9	NZ_JPOL01000002.1	1198755	1206435	GH177-unk-susD-susC
NZ_JPOL01000002	PUL10	NZ_JPOL01000002.1	1232971	1255686	susC-susD-unk-unk-susC-susD-unk-unk-susC-susD-unk-susC
NZ_JPOL01000002	PUL11	NZ_JPOL01000002.1	1440893	1446014	susD-susC
NZ_JPOL01000002	PUL12	NZ_JPOL01000002.1	1449811	1458396	susC-unk-unk-susC-susD
NZ_JPOL01000002	PUL13	NZ_JPOL01000002.1	1498719	1508763	GH177-unk-susD-susC
NZ_JPOL01000002	PUL14	NZ_JPOL01000002.1	1632050	1642503	GH3-CE1-GH144-GH144-susD-susC
NZ_JPOL01000002	PUL15	NZ_JPOL01000002.1	1796425	1804068	susC-susD-unk-GH43_26-GH5_13
NZ_JPOL01000002	PUL16	NZ_JPOL01000002.1	1845207	1855527	susC-susD-unk-GH30_3-GH5_46-GH30_3
NZ_JPOL01000002	PUL17	NZ_JPOL01000002.1	2575497	2599496	GH92-susC-susD-GH3-GH29-GH29-unk-unk-unk-unk-GH32-unk-unk-GH65
NZ_JPOL01000002	PUL18	NZ_JPOL01000002.1	2611823	2616593	susD-susC
NZ_JPOL01000002	PUL19	NZ_JPOL01000002.1	2951658	2956610	susC-susD
NZ_JPOL01000002	PUL20	NZ_JPOL01000002.1	2966266	2979937	susC-susD-unk-GH2_1-GH31_3-GH29-GH5_4
NZ_JPOL01000002	PUL21	NZ_JPOL01000002.1	3222509	3255116	GH130_1-unk-GH26-unk-susC-susD-unk-GH27-unk-CE20-CE2-unk-GH26-GH9-unk-susC-susD-CBM35;CBM32;GH5_10
NZ_JPOL01000002	PUL22	NZ_JPOL01000002.1	3279905	3284942	susC-susD
