Organism,Scaffold,Start,End,Score,NZ_PJDO01000018_14,NZ_PJDO01000018_15,NZ_PJDO01000018_16,NZ_PJDO01000018_17,NZ_PJDO01000018_18,NZ_PJDO01000018_19,NZ_PJDO01000018_20,NZ_PJDO01000018_21,NZ_PJDO01000018_22,NZ_PJDO01000018_23,NZ_PJDO01000018_24,NZ_PJDO01000018_25,NZ_PJDO01000018_26,NZ_PJDO01000018_27
AE014295,AE014295.3,1787637,1806222,22.0726,1,1,1,1,0,1,1,1,1,1,1,0,1,1
CP016019,CP016019.1,2218060,2236645,22.0712,1,1,1,1,0,1,1,1,1,1,1,0,1,1
CP137763,CP137763.1,2193402,2211980,25.0849,1,1,1,1,0,1,1,1,1,1,1,1,1,1
NZ_AP012330,NZ_AP012330.1,209032,218855,8.3672,0,1,1,1,0,1,0,1,0,1,0,0,0,0
NZ_PJDO01000018,NZ_PJDO01000018.1,16231,34141,23.0694,0,1,1,1,0,1,1,1,1,1,1,1,1,1
PJDT01000028,PJDT01000028.1,94524,113123,25.0879,1,1,1,1,0,1,1,1,1,1,1,1,1,1
