Organism,Scaffold,Start,End,Score,AP012281_1471,AP012281_1472,AP012281_1473,AP012281_1474,AP012281_1475,AP012281_1476
AE005176,AE005176.1,1543237,1551460,11.5234,1,1,1,1,1,1
AP012281,AP012281.1,1563592,1571798,11.5322,1,1,1,1,1,1
CP001834,CP001834.1,1685851,1694057,11.5253,1,1,1,1,1,1
